,ET,P,wy,sumP
2000-10-31,,155.31562627748002,2001,155.31562627748002
2000-11-30,,31.02281463977902,2001,186.33844091725905
2000-12-31,,25.632418122402456,2001,211.9708590396615
2001-01-31,38.652253183032116,191.90169223519257,2001,403.87255127485406
2001-02-28,39.41481140222837,209.97222971361734,2001,613.8447809884714
2001-03-31,53.119449264192944,113.88690788801324,2001,727.7316888764847
2001-04-30,11.504487179487178,180.4554854991824,2001,908.187174375667
2001-05-31,79.3727852203976,0.2881162676873595,2001,908.4752906433544
2001-06-30,50.62570224719103,0.0,2001,908.4752906433544
2001-07-31,88.44749351771826,27.478976404944127,2001,935.9542670482986
2001-08-31,66.4913569576491,0.0,2001,935.9542670482986
2001-09-30,68.67588591184098,0.161139530270512,2001,936.115406578569
2001-10-31,30.23971609076813,47.218627486118045,2002,47.218627486118045
2001-11-30,29.06498862987646,222.44669182356014,2002,269.6653193096782
2001-12-31,20.52066229804794,315.02669223519257,2002,584.6920115448708
2002-01-31,16.023363841473206,117.7106035809184,2002,702.4026151257891
2002-02-28,35.25141500875543,46.31030371022778,2002,748.7129188360169
2002-03-31,30.441570859983262,171.2399551036746,2002,919.9528739396915
2002-04-30,46.04796345485888,53.992953721867046,2002,973.9458276615586
2002-05-31,75.9439282627485,48.59472239294717,2002,1022.5405500545057
2002-06-30,79.3893150388937,2.645465152208195,2002,1025.186015206714
2002-07-31,70.45451598962836,0.0,2002,1025.186015206714
2002-08-31,57.15946413137424,0.0,2002,1025.186015206714
2002-09-30,65.8957433016422,1.0654418939767882,2002,1026.2514571006907
2002-10-31,32.45177730220614,7.577790548635083,2003,7.577790548635083
2002-11-30,30.00534788245463,294.6614692155705,2003,302.2392597642056
2002-12-31,15.609419785047486,275.5819829896439,2003,577.8212427538494
2003-01-31,26.616556823568008,21.913395371547963,2003,599.7346381253975
2003-02-28,28.716447084110456,158.44525323912154,2003,758.179891364519
2003-03-31,49.91584989199368,144.49106651128724,2003,902.6709578758063
2003-04-30,14.629366557987893,214.9876698338708,2003,1117.6586277096771
2003-05-31,58.75244395643748,85.10969649913699,2003,1202.768324208814
2003-06-30,83.5807584269663,0.0,2003,1202.768324208814
2003-07-31,52.55633968489328,10.05865094828051,2003,1212.8269751570945
2003-08-31,72.47182983160903,48.397719982058504,2003,1261.224695139153
2003-09-30,70.06665946413139,3.937186008275941,2003,1265.161881147429
2003-10-31,37.961700518582546,1.7805814133134,2004,1.7805814133134
2003-11-30,25.166219018869622,80.71623088038245,2004,82.49681229369585
2003-12-31,5.137694468452897,307.8525965491006,2004,390.3494088427965
2004-01-31,29.97318841939651,81.8132077594136,2004,472.16261660221005
2004-02-29,31.8311816327594,207.58169697606283,2004,679.7443135782728
2004-03-31,47.862844771530916,40.568141050116964,2004,720.3124546283898
2004-04-30,59.20418213832337,11.330208955809127,2004,731.642663584199
2004-05-31,48.52387136438309,11.307255789291025,2004,742.9499193734899
2004-06-30,78.29807692307695,0.47283723049385595,2004,743.4227566039838
2004-07-31,70.17167242869493,1.786744198133779,2004,745.2095008021176
2004-08-31,59.733264629585584,0.0,2004,745.2095008021176
2004-09-30,62.18998487467591,0.9653488314428994,2004,746.1748496335605
2004-10-31,44.95017805321059,203.0058153729106,2005,203.0058153729106
2004-11-30,21.447441118204143,48.911556598752036,2005,251.91737197166265
2004-12-31,16.78964446481606,178.72918488258537,2005,430.64655685424805
2005-01-31,26.67874563972736,339.70300860737643,2005,770.3495654616245
2005-02-28,38.60777180437392,136.03360978947129,2005,906.3831752510957
2005-03-31,35.8613777124941,254.164673206418,2005,1160.5478484575137
2005-04-30,35.51025781059802,88.68886104849881,2005,1249.2367095060126
2005-05-31,51.130191042909765,139.80922982859056,2005,1389.0459393346032
2005-06-30,84.7237826949943,0.0,2005,1389.0459393346032
2005-07-31,62.37067847882456,0.0,2005,1389.0459393346032
2005-08-31,76.0420267934313,9.490906848463899,2005,1398.536846183067
2005-09-30,69.83443171996545,11.935860234637593,2005,1410.4727064177046
2005-10-31,36.69592696629214,15.146558229313339,2006,15.146558229313339
2005-11-30,27.98833189282628,25.662859938865484,2006,40.80941816817882
2005-12-31,23.261359450536478,290.0939678813136,2006,330.9033860494924
2006-01-31,32.86459211840903,305.4213313612827,2006,636.3247174107751
2006-02-28,23.84049581121933,121.1087406956872,2006,757.4334581064622
2006-03-31,15.456724877450979,338.9967949445857,2006,1096.430253051048
2006-04-30,19.964566929133856,344.7445146427598,2006,1441.1747676938078
2006-05-31,68.938986991203,42.692047030426735,2006,1483.8668147242345
2006-06-30,83.45851339671566,0.0,2006,1483.8668147242345
2006-07-31,68.36479040622301,32.52681466036064,2006,1516.3936293845952
2006-08-31,73.20462402765774,0.0,2006,1516.3936293845952
2006-09-30,70.17404926534144,0.0,2006,1516.3936293845952
2006-10-31,38.89649956784789,15.301744571951932,2007,15.301744571951932
2006-11-30,25.091256547711005,30.645046145416966,2007,45.9467907173689
2006-12-31,21.115680698855286,128.97034880172373,2007,174.91713951909264
2007-01-31,19.300825121449655,31.971859865410376,2007,206.88899938450302
2007-02-28,39.51927273391381,202.0840489587118,2007,408.9730483432148
2007-03-31,48.118275687280466,48.618583146915874,2007,457.5916314901307
2007-04-30,43.63344109674868,40.934486566587935,2007,498.52611805671864
2007-05-31,75.12181287813311,10.314046194387036,2007,508.84016425110565
2007-06-30,75.17702031114955,0.0,2007,508.84016425110565
2007-07-31,56.04521391529819,0.0,2007,508.84016425110565
2007-08-31,80.04105445116683,14.915511597034543,2007,523.7556758481402
2007-09-30,70.2588591184097,13.5489532559417,2007,537.3046291040819
2007-10-31,36.07665298184963,27.05774466935978,2008,27.05774466935978
2007-11-30,29.173292999135704,9.84632565254389,2008,36.904070321903674
2007-12-31,21.72824437507788,173.59404311069218,2008,210.49811343259586
2008-01-31,28.064598455163452,295.37940446720563,2008,505.8775178998015
2008-02-29,41.714031405066116,269.51750892816585,2008,775.3950268279673
2008-03-31,39.04176713191372,28.57927859106729,2008,803.9743054190346
2008-04-30,47.07090156961867,0.7060232509014218,2008,804.6803286699361
2008-05-31,51.522997678554695,41.31481348082077,2008,845.9951421507568
2008-06-30,74.15017286084704,0.0,2008,845.9951421507568
2008-07-31,62.45986387208299,28.84958085348439,2008,874.8447230042412
2008-08-31,51.40622299049265,0.0,2008,874.8447230042412
2008-09-30,66.51993301642179,1.4473953995593758,2008,876.2921184038006
2008-10-31,44.360630942091625,46.969696222349654,2009,46.969696222349654
2008-11-30,22.96234048785173,132.49816238048464,2009,179.4678586028343
2008-12-31,23.192815086307434,170.91192626953122,2009,350.3797848723655
2009-01-31,35.21951534648598,161.53069961902705,2009,511.9104844913926
2009-02-28,42.66857012993176,228.421446334484,2009,740.3319308258765
2009-03-31,55.79242352662825,111.23372277548147,2009,851.565653601358
2009-04-30,25.103309703858734,56.81521038676417,2009,908.3808639881222
2009-05-31,74.24020980497919,59.66825440872547,2009,968.0491183968477
2009-06-30,37.96283491789111,32.85516109022983,2009,1000.9042794870775
2009-07-31,65.50977744165948,0.0,2009,1000.9042794870775
2009-08-31,68.49416594641315,9.795767473620037,2009,1010.7000469606975
2009-09-30,60.12094857389802,0.0,2009,1010.7000469606975
2009-10-31,37.06239196197062,223.01234400549598,2010,223.01234400549598
2009-11-30,27.52917026793432,6.172627925872802,2010,229.18497193136878
2009-12-31,15.559329604127711,226.85235134390894,2010,456.0373232752777
2010-01-31,17.088799986440193,224.46767123909882,2010,680.5049945143766
2010-02-28,26.654769253984018,253.05697276980376,2010,933.5619672841804
2010-03-31,35.77508959994358,103.9003492843273,2010,1037.4623165685075
2010-04-30,38.34290017757483,207.68748828976652,2010,1245.1498048582741
2010-05-31,61.67631968178037,46.85192888836527,2010,1292.0017337466395
2010-06-30,73.27609665802362,0.0,2010,1292.0017337466395
2010-07-31,72.59555963699222,1.0425581128098242,2010,1293.0442918594492
2010-08-31,65.47169403630079,0.0,2010,1293.0442918594492
2010-09-30,58.00721725014949,1.8997441946074018,2010,1294.9440360540566
2010-10-31,36.34233506750696,175.27979189850564,2011,175.27979189850564
2010-11-30,26.411948358377753,140.81849067155702,2011,316.0982825700627
2010-12-31,18.432345109169233,583.9940341683321,2011,900.0923167383947
2011-01-31,28.36805289733246,104.22190910161926,2011,1004.314225840014
2011-02-28,31.417649961388566,198.9136292213617,2011,1203.2278550613757
2011-03-31,45.77710269370211,428.3125056776889,2011,1631.5403607390645
2011-04-30,43.75954033636762,47.41985906556595,2011,1678.9602198046305
2011-05-31,64.68365903538385,105.14030154915741,2011,1784.1005213537878
2011-06-30,85.48314109425723,52.25618699539539,2011,1836.3567083491832
2011-07-31,87.12434398011683,15.755627743033472,2011,1852.1123360922168
2011-08-31,80.32935393258431,8.915348662886508,2011,1861.0276847551033
2011-09-30,71.87529079492903,23.937837778135787,2011,1884.965522533239
