,ET,P,wy,sumP
2000-10-31,,124.80167511970764,2001,124.80167511970764
2000-11-30,,19.88171017554498,2001,144.6833852952526
2000-12-31,,19.35293517574187,2001,164.0363204709945
2001-01-31,29.629302121024132,174.23761232437624,2001,338.27393279537074
2001-02-28,16.29869424472986,181.32967795095135,2001,519.6036107463221
2001-03-31,37.947351534652014,94.28387254284274,2001,613.8874832891648
2001-04-30,22.07985474523317,156.87493453487272,2001,770.7624178240376
2001-05-31,77.49874250856166,0.0,2001,770.7624178240376
2001-06-30,31.758668664383574,0.0,2001,770.7624178240376
2001-07-31,64.53456763698631,15.497290457448651,2001,786.2597082814862
2001-08-31,29.13441780821919,0.0,2001,786.2597082814862
2001-09-30,57.114913313356176,0.27093547486489816,2001,786.5306437563511
2001-10-31,36.45283069349315,42.12422475507183,2002,42.12422475507183
2001-11-30,37.42073835672184,173.39054181498864,2002,215.51476657006046
2001-12-31,15.148729843397547,257.8663910896547,2002,473.3811576597152
2002-01-31,24.316328772084468,94.09854864305063,2002,567.4797063027659
2002-02-28,31.16735345849773,41.92732275685957,2002,609.4070290596254
2002-03-31,38.70693174978269,124.1132608229114,2002,733.5202898825368
2002-04-30,48.31854230813891,49.77232139341292,2002,783.2926112759498
2002-05-31,77.05953017979452,47.63196686775453,2002,830.9245781437043
2002-06-30,64.13559503424659,5.2860000364242055,2002,836.2105781801284
2002-07-31,36.184182363013704,0.0,2002,836.2105781801284
2002-08-31,36.56884096746576,0.0,2002,836.2105781801284
2002-09-30,58.927333047945226,0.6978064467830042,2002,836.9083846269115
2002-10-31,41.1468857020548,5.450742075520177,2003,5.450742075520177
2002-11-30,40.29591086377474,226.5291280438823,2003,231.97987011940248
2002-12-31,30.581005921497876,232.13712926064767,2003,464.1169993800502
2003-01-31,29.264832207367288,18.1536445002402,2003,482.2706438802903
2003-02-28,27.157084652491623,117.64141870314074,2003,599.9120625834311
2003-03-31,50.70705826481864,96.02877167732484,2003,695.940834260756
2003-04-30,13.298052226027405,205.01087213331652,2003,900.9517063940725
2003-05-31,50.75946253888985,85.13048381190146,2003,986.0821902059739
2003-06-30,70.63114537238062,0.0,2003,986.0821902059739
2003-07-31,21.38249143835617,5.66906447564402,2003,991.751254681618
2003-08-31,37.0689747431507,21.609645720451105,2003,1013.3609004020691
2003-09-30,58.72450235445208,0.9291613159641142,2003,1014.2900617180331
2003-10-31,37.61919413527398,2.245161256482524,2004,2.245161256482524
2003-11-30,34.19799385388918,65.83748159100932,2004,68.08264284749184
2003-12-31,20.496245224784364,242.39818942162296,2004,310.4808322691148
2004-01-31,26.82797746452405,77.07609582716418,2004,387.55692809627897
2004-02-29,24.165065796404164,183.64668372369582,2004,571.2036118199749
2004-03-31,47.814374541224254,36.20499863163117,2004,607.408610451606
2004-04-30,73.79812300628389,14.99367772379229,2004,622.4022881753983
2004-05-31,59.701385414175675,13.194935367953393,2004,635.5972235433517
2004-06-30,64.98049215484647,0.0,2004,635.5972235433517
2004-07-31,35.02702268835617,1.0051935641996321,2004,636.6024171075513
2004-08-31,33.9647191180832,0.0,2004,636.6024171075513
2004-09-30,51.66882491438357,1.1564515752177085,2004,637.758868682769
2004-10-31,43.5492350232829,212.3805207283266,2005,212.3805207283266
2004-11-30,28.31490701461527,47.72106515207598,2005,260.1015858804026
2004-12-31,23.98870650083306,164.7071597191595,2005,424.8087455995621
2005-01-31,30.61226872871341,333.74025406376006,2005,758.5489996633221
2005-02-28,10.150848460931336,144.79932920394404,2005,903.3483288672662
2005-03-31,43.696263343851435,207.03377951345135,2005,1110.3821083807175
2005-04-30,25.47113583025704,70.8240956952495,2005,1181.206204075967
2005-05-31,76.45183680188859,142.0676116943359,2005,1323.273815770303
2005-06-30,84.12998927894749,0.09754838698333308,2005,1323.3713641572863
2005-07-31,25.940871147260285,0.0,2005,1323.3713641572863
2005-08-31,35.98482983732878,2.769612904517881,2005,1326.140977061804
2005-09-30,70.22043557363016,6.641451774104949,2005,1332.782428835909
2005-10-31,48.67000394090669,16.79945158189343,2006,16.79945158189343
2005-11-30,35.56838207914229,22.847354888916012,2006,39.64680647080944
2005-12-31,21.080637652567248,223.23538897114415,2006,262.88219544195357
2006-01-31,29.247901630670004,281.71561850270916,2006,544.5978139446627
2006-02-28,26.527317858316017,93.461548097672,2006,638.0593620423347
2006-03-31,11.009686547670873,296.8124251827117,2006,934.8717872250464
2006-04-30,35.99415187801702,314.3644507623487,2006,1249.2362379873953
2006-05-31,77.67669606092029,28.994355417067005,2006,1278.230593404462
2006-06-30,66.03258775684934,0.0,2006,1278.230593404462
2006-07-31,30.34120826198631,18.792322281868223,2006,1297.0229156863304
2006-08-31,32.664517337328775,0.0,2006,1297.0229156863304
2006-09-30,57.72015423714747,0.0,2006,1297.0229156863304
2006-10-31,44.12598994006851,11.399193579150783,2007,11.399193579150783
2006-11-30,32.41575177543189,26.87122566469254,2007,38.27041924384332
2006-12-31,23.26888940350655,118.7423875870243,2007,157.01280683086762
2007-01-31,25.134611283415076,32.10745103897587,2007,189.1202578698435
2007-02-28,37.35286831173745,177.72816565728954,2007,366.84842352713304
2007-03-31,54.71945269899873,44.695709228515625,2007,411.54413275564866
2007-04-30,54.23458432880483,35.215193225491426,2007,446.7593259811401
2007-05-31,72.8094231592466,9.26380649689705,2007,456.02313247803716
2007-06-30,47.199426176797004,0.0,2007,456.02313247803716
2007-07-31,33.11906035958905,0.0,2007,456.02313247803716
2007-08-31,35.198362585616444,5.398161257466962,2007,461.4212937355041
2007-09-30,82.44453660102742,7.862160990315099,2007,469.2834547258192
2007-10-31,42.439479880137,19.86800076884608,2008,19.86800076884608
2007-11-30,40.81611753292336,4.644096728294127,2008,24.512097497140207
2007-12-31,22.737947946050884,135.002446820659,2008,159.51454431779922
2008-01-31,26.843063302381072,287.4751360493321,2008,446.9896803671313
2008-02-29,38.07290146420338,194.23093881914693,2008,641.2206191862782
2008-03-31,29.203208223965863,19.299321882186394,2008,660.5199410684646
2008-04-30,49.04035191669436,0.27896774199701124,2008,660.7989088104616
2008-05-31,49.025084014481244,40.04896705381332,2008,700.847875864275
2008-06-30,48.37566887842467,0.0,2008,700.847875864275
2008-07-31,28.916025561143723,17.47741994550151,2008,718.3252958097764
2008-08-31,27.64231057363014,0.0,2008,718.3252958097764
2008-09-30,54.73186001712331,0.2253548486098166,2008,718.5506506583863
2008-10-31,49.9814823735801,45.37719468147523,2009,45.37719468147523
2008-11-30,32.67169124657928,110.28961083196823,2009,155.66680551344348
2008-12-31,26.74794470288237,126.34790826612902,2009,282.0147137795725
2009-01-31,32.612051603487984,136.77897004158265,2009,418.7936838211551
2009-02-28,42.11929054362788,197.18971203219502,2009,615.9833958533502
2009-03-31,50.00627839790902,83.98458148587133,2009,699.9679773392215
2009-04-30,27.551289597602747,43.50487075313445,2009,743.4728480923559
2009-05-31,73.53359123920765,56.36309592954574,2009,799.8359440219017
2009-06-30,44.794278148317716,40.44332270468434,2009,840.279266726586
2009-07-31,24.918631794211315,0.0,2009,840.279266726586
2009-08-31,33.883481378424676,7.526257945645239,2009,847.8055246722313
2009-09-30,54.5545269691781,0.0,2009,847.8055246722313
2009-10-31,45.23295697773973,194.72964329873358,2010,194.72964329873358
2009-11-30,38.144746644334724,5.818064674254386,2010,200.54770797298795
2009-12-31,21.996003788693443,199.53412948116178,2010,400.08183745414976
2010-01-31,23.718503370245134,218.7419005363218,2010,618.8237379904715
2010-02-28,26.859934205385507,212.68135612241682,2010,831.5050941128884
2010-03-31,25.14283304313414,90.18845047489289,2010,921.6935445877813
2010-04-30,26.61715252912176,179.80954225601684,2010,1101.503086843798
2010-05-31,60.03483289764953,48.24132390176096,2010,1149.744410745559
2010-06-30,79.63880565068494,0.17809677926162557,2010,1149.9225075248207
2010-07-31,42.80463398972604,0.0,2010,1149.9225075248207
2010-08-31,48.13554152397262,0.0,2010,1149.9225075248207
2010-09-30,50.97506991562101,1.4153225979497355,2010,1151.3378301227704
2010-10-31,44.00051989026443,163.2308133033014,2011,163.2308133033014
2010-11-30,33.08731202724466,116.0103567800214,2011,279.2411700833228
2010-12-31,23.878033586391023,464.34825183499237,2011,743.5894219183151
2011-01-31,28.479230219188214,91.32645391648815,2011,834.9158758348033
2011-02-28,43.99155707376359,173.36857555758567,2011,1008.284451392389
2011-03-31,25.529949585118356,350.9807502992692,2011,1359.2652016916581
2011-04-30,32.738922887598086,39.27751688803396,2011,1398.542718579692
2011-05-31,63.65047501511566,105.93396709811302,2011,1504.476685677805
2011-06-30,77.24738038582937,70.3284168858682,2011,1574.8051025636732
2011-07-31,68.0460550280638,0.0,2011,1574.8051025636732
2011-08-31,33.84950339383935,2.0326774735604562,2011,1576.8377800372339
2011-09-30,65.92514785443714,11.208838801230153,2011,1588.046618838464
2011-10-31,67.24218750000003,66.41642121345765,2012,66.41642121345765
2011-11-30,41.88237576303097,40.32064425560736,2012,106.73706546906502
2011-12-31,32.88398972602741,0.0,2012,106.73706546906502
2012-01-31,38.76866334049293,162.20397260112148,2012,268.9410380701865
2012-02-29,38.11480846287016,41.280967466292836,2012,310.22200553647934
2012-03-31,18.150701099963825,144.22622483776462,2012,454.44823037424396
2012-04-30,67.71466516270279,132.85960880402595,2012,587.3078391782699
2012-05-31,63.81001177226028,3.7251708507537837,2012,591.0330100290237
2012-06-30,71.73662243150686,2.5245160748881674,2012,593.5575261039119
2012-07-31,43.364696016004984,0.0,2012,593.5575261039119
2012-08-31,22.017663563353455,0.6007096805880147,2012,594.1582357844999
2012-09-30,53.895039597602754,0.08500000001532175,2012,594.2432357845152
2012-10-31,60.09366295817881,29.054354698427254,2013,29.054354698427254
2012-11-30,28.010601886230962,87.74793760238155,2013,116.8022923008088
2012-12-31,26.528387792639776,278.0775215395035,2013,394.8798138403123
2013-01-31,27.858729636224787,42.56506347656249,2013,437.4448773168748
2013-02-28,39.769450633185016,27.973580206594157,2013,465.41845752346893
2013-03-31,52.722475047170974,42.7702268785046,2013,508.18868440197355
2013-04-30,53.541470462328796,33.77261180262411,2013,541.9612962045976
