,ET,P,wy,sumP,D
2000-10-31,,122.97268679529616,2001,122.97268679529616,
2000-11-30,,53.76408201212455,2001,176.7367688074207,
2000-12-31,,54.927300036549035,2001,231.66406884396974,
2001-01-31,44.18950393472627,156.44192215229148,2001,388.1059909962612,
2001-02-28,26.09987325096089,206.71534760879672,2001,594.8213386050579,
2001-03-31,65.89607555169641,121.40262449924563,2001,716.2239631043035,
2001-04-30,50.261373759590214,166.20030855461212,2001,882.4242716589156,
2001-05-31,85.73954145772376,0.72554587407019,2001,883.1498175329858,
2001-06-30,37.40761663456082,2.983797514471111,2001,886.1336150474569,
2001-07-31,67.90006800169064,0.8548900912719679,2001,886.9885051387289,
2001-08-31,40.0932602515429,0.0,2001,886.9885051387289,
2001-09-30,57.890062893724256,13.797988296529581,2001,900.7864934352585,
2001-10-31,36.19506402324832,39.04904872953188,2002,39.04904872953188,
2001-11-30,31.159244391378298,214.46505602872125,2002,253.51410475825313,
2001-12-31,20.951702346528467,327.65504456952306,2002,581.1691493277762,
2002-01-31,26.31219448345216,106.14812038466674,2002,687.3172697124429,
2002-02-28,39.60946893601413,105.8845916318417,2002,793.2018613442846,
2002-03-31,60.32634390437812,196.2396183135183,2002,989.4414796578028,
2002-04-30,58.74373211929688,63.424707802504884,2002,1052.8661874603076,
2002-05-31,80.42847739731458,59.05445720800803,2002,1111.9206446683156,
2002-06-30,86.26686174136782,0.0,2002,1111.9206446683156,
2002-07-31,57.2854905708729,0.0,2002,1111.9206446683156,
2002-08-31,40.14377558800716,0.0,2002,1111.9206446683156,
2002-09-30,53.89829169901686,0.8467920284603447,2002,1112.767436696776,
2002-10-31,37.733926905707996,0.0,2003,0.0,
2002-11-30,35.03858828341924,166.17746061763367,2003,166.17746061763367,
2002-12-31,19.95237432185685,350.8170007745534,2003,516.9944613921871,
2003-01-31,34.16004640420849,63.54621653335946,2003,580.5406779255466,
2003-02-28,40.34896519218026,90.71487517534442,2003,671.255553100891,
2003-03-31,60.690323184257146,103.39294479328541,2003,774.6484978941764,
2003-04-30,58.421811957014995,286.9480843331791,2003,1061.5965822273556,
2003-05-31,92.0551154271533,88.88801018267084,2003,1150.4845924100264,
2003-06-30,92.90550722421145,0.0,2003,1150.4845924100264,
2003-07-31,46.71857948786843,4.121241561506794,2003,1154.6058339715332,
2003-08-31,65.27480890147095,33.862515353376935,2003,1188.4683493249102,
2003-09-30,62.1596591215791,1.7209582152851703,2003,1190.1893075401954,
2003-10-31,38.121612138855745,3.024712071323482,2004,3.024712071323482,
2003-11-30,28.929525920050168,100.41873530665926,2004,103.44344737798274,
2003-12-31,22.61896250990081,367.97750605029705,2004,471.4209534282798,
2004-01-31,29.71556011262274,107.20814283407353,2004,578.6290962623533,
2004-02-29,35.80466984642005,245.08764593001393,2004,823.7167421923673,
2004-03-31,68.14208840120286,43.02157249762512,2004,866.7383146899924,
2004-04-30,80.70314278333059,13.348858401084575,2004,880.087173091077,
2004-05-31,60.7789169230596,27.19541592645602,2004,907.282589017533,
2004-06-30,85.35046456088944,3.070580405283797,2004,910.3531694228168,
2004-07-31,63.10288493003503,0.6820635624520894,2004,911.0352329852689,
2004-08-31,46.62043850572169,0.0,2004,911.0352329852689,
2004-09-30,52.42922656854454,6.413633086267761,2004,917.4488660715366,
2004-10-31,44.08942923779429,221.3878265574886,2005,221.3878265574886,
2004-11-30,23.229002592175316,81.67119752223874,2005,303.05902407972735,
2004-12-31,21.10733181277959,213.69392135855722,2005,516.7529454382845,
2005-01-31,26.59265856449929,312.7423619019997,2005,829.4953073402842,
2005-02-28,45.943202846233724,163.29732019353412,2005,992.7926275338183,
2005-03-31,58.712281798820044,270.21768906374183,2005,1263.0103165975602,
2005-04-30,57.24659753463438,83.94369787481241,2005,1346.9540144723726,
2005-05-31,95.64399213116496,176.5830162526476,2005,1523.5370307250203,
2005-06-30,108.41712943793621,48.74643347980108,2005,1572.2834642048213,
2005-07-31,56.79168048656445,0.0,2005,1572.2834642048213,
2005-08-31,52.17039935659615,0.9913560292268213,2005,1573.274820234048,
2005-09-30,69.82816127678949,12.663152725018772,2005,1585.9379729590669,
2005-10-31,43.71194000011136,33.489726791589725,2006,33.489726791589725,
2005-11-30,35.78372880035937,83.21892142923825,2006,116.70864822082797,
2005-12-31,20.282071149624564,487.7048130018078,2006,604.4134612226358,
2006-01-31,28.279562846908195,274.7574403573989,2006,879.1709015800346,
2006-02-28,40.17944538295396,141.35952850258647,2006,1020.5304300826211,
2006-03-31,51.99574044829394,343.81580094312346,2006,1364.3462310257446,
2006-04-30,64.9915741793794,307.701348522162,2006,1672.0475795479065,
2006-05-31,95.040709012841,54.91460150875469,2006,1726.9621810566612,
2006-06-30,84.80945125885683,2.0944105299780964,2006,1729.0565915866393,
2006-07-31,47.29123558306493,1.0913632914396876,2006,1730.147954878079,
2006-08-31,57.079866671464835,0.0,2006,1730.147954878079,
2006-09-30,56.79920965490636,0.2013751199768415,2006,1730.3493299980557,
2006-10-31,43.00650989754941,31.418859317235587,2007,31.418859317235587,
2006-11-30,29.437848960626802,112.44529660369568,2007,143.86415592093127,
2006-12-31,22.267590456656578,153.1324974011552,2007,296.99665332208644,
2007-01-31,25.86174514320461,52.17292058045599,2007,349.1695739025424,
2007-02-28,38.1630402213369,320.0352628536381,2007,669.2048367561805,
2007-03-31,58.33801915088229,38.66659818228324,2007,707.8714349384637,
2007-04-30,53.40392204343956,77.64576988670635,2007,785.5172048251701,
2007-05-31,85.37462472763627,39.378487835571406,2007,824.8956926607415,
2007-06-30,84.73007943933641,6.747202544078083,2007,831.6428952048195,
2007-07-31,55.351303719499704,0.4800663116353342,2007,832.1229615164549,
2007-08-31,52.78239367374567,0.10005086578122534,2007,832.2230123822361,
2007-09-30,66.69094131390455,13.985411544370175,2007,846.2084239266063,
2007-10-31,42.30152952394968,44.5884274267046,2008,44.5884274267046,
2007-11-30,34.94948627902432,29.553116400820038,2008,74.14154382752463,
2007-12-31,19.915574237336156,158.03414693861848,2008,232.1756907661431,
2008-01-31,27.328805442334858,303.4416516933736,2008,535.6173424595167,
2008-02-29,39.32218213121649,189.83966900152473,2008,725.4570114610415,
2008-03-31,41.31687093992984,27.680386091989348,2008,753.1373975530308,
2008-04-30,68.2357244597445,10.075897483150058,2008,763.2132950361809,
2008-05-31,59.01396853219117,74.34375686021853,2008,837.5570518963993,
2008-06-30,81.14133769365026,0.0,2008,837.5570518963993,
2008-07-31,52.55914676581062,0.00018346958182968682,2008,837.5572353659812,
2008-08-31,41.941299908235436,0.0,2008,837.5572353659812,
2008-09-30,51.60414279555914,0.009125340623581456,2008,837.5663607066048,
2008-10-31,49.084004669636236,46.54830808232417,2009,46.54830808232417,
2008-11-30,29.729279035707734,113.05892897215246,2009,159.60723705447663,
2008-12-31,22.394326036731368,178.58093484849093,2009,338.18817190296755,
2009-01-31,37.34332583903703,131.05406567316288,2009,469.24223757613044,
2009-02-28,36.400000058545004,225.46955403146913,2009,694.7117916075996,
2009-03-31,59.26149119473064,195.0486483734159,2009,889.7604399810155,
2009-04-30,55.49936670161676,63.07588569994518,2009,952.8363256809606,
2009-05-31,89.94760091729351,124.58149843276577,2009,1077.4178241137263,
2009-06-30,86.81991778451221,13.429871108291586,2009,1090.8476952220178,
2009-07-31,54.67345925948981,0.2214859200431733,2009,1091.069181142061,
2009-08-31,48.139260975923214,1.4250009147066296,2009,1092.4941820567678,
2009-09-30,47.05977067851808,3.080111710620295,2009,1095.574293767388,
2009-10-31,42.99292423124673,132.18328470755014,2010,132.18328470755014,
2009-11-30,34.62467017675772,31.28894230065618,2010,163.47222700820632,
2009-12-31,20.59621365394531,194.48058344731,2010,357.9528104555163,
2010-01-31,22.325522665239067,209.11429275110783,2010,567.0671032066241,
2010-02-28,37.57562888928512,149.11603398543937,2010,716.1831371920634,
2010-03-31,56.72017038560968,133.52990628414864,2010,849.7130434762121,
2010-04-30,57.19116837202925,196.65085556764805,2010,1046.36389904386,
2010-05-31,84.67843433221174,137.63524470385588,2010,1183.999143747716,
2010-06-30,106.11962662676054,4.225048959742449,2010,1188.2241927074585,
2010-07-31,83.0795900282491,0.010274296411593106,2010,1188.2344670038701,
2010-08-31,65.95398912490705,0.00044323343823373756,2010,1188.2349102373084,
2010-09-30,58.148299749556664,0.1595958188657465,2010,1188.3945060561741,
2010-10-31,41.547359588111185,239.24758732351367,2011,239.24758732351367,
2010-11-30,33.26849375286974,220.98286737343273,2011,460.23045469694637,
2010-12-31,22.322868110702842,416.57713333116027,2011,876.8075880281067,
2011-01-31,31.67541460930668,75.11805896256645,2011,951.9256469906732,
2011-02-28,38.27263263850554,204.22487411013955,2011,1156.1505211008127,
2011-03-31,61.668470372352246,464.3563893497478,2011,1620.5069104505606,
2011-04-30,58.26971275133493,56.5671264101006,2011,1677.0740368606612,
2011-05-31,91.54363467661578,107.39402036467645,2011,1784.4680572253376,
2011-06-30,106.83865933253212,90.26347719724346,2011,1874.731534422581,
2011-07-31,101.61271687925105,0.061737509341157654,2011,1874.7932719319222,
2011-08-31,67.98681804752653,0.0,2011,1874.7932719319222,
2011-09-30,65.09360094863706,8.324558569018567,2011,1883.1178305009407,
2011-10-31,56.07118925814906,98.29719150553606,2012,98.29719150553606,
2011-11-30,34.57803566354714,45.72003462788844,2012,144.01722613342451,
2011-12-31,24.448275630138316,0.13769754729522132,2012,144.15492368071975,
2012-01-31,31.12293087562152,185.89772252664045,2012,330.0526462073602,
2012-02-29,36.70915802196297,48.9164957294239,2012,378.9691419367841,
2012-03-31,42.45862322268642,263.46718855882966,2012,642.4363304956138,
2012-04-30,80.92270543756418,168.59220277819168,2012,811.0285332738055,
2012-05-31,76.18111678955208,12.838321695319099,2012,823.8668549691246,
2012-06-30,102.34047360122929,30.286510533359674,2012,854.1533655024842,
2012-07-31,67.60948284714603,3.221964633215784,2012,857.3753301357,
2012-08-31,41.5151136053807,2.330843754484911,2012,859.7061738901849,
2012-09-30,53.17384212302058,2.927657565672109,2012,862.633831455857,
2012-10-31,59.67098672035046,66.51250907142631,2013,66.51250907142631,
2012-11-30,22.374508336694323,179.14872741699224,2013,245.66123648841855,
2012-12-31,21.974049342925497,409.296203474691,2013,654.9574399631096,
2013-01-31,28.577654183234834,34.602420560887026,2013,689.5598605239966,
2013-02-28,41.98153266359881,22.62476555549698,2013,712.1846260794936,
2013-03-31,63.1993272022357,91.56808587402567,2013,803.7527119535192,
2013-04-30,62.443297593878604,51.71881506466844,2013,855.4715270181877,
2013-05-31,89.61284299997149,54.82600176929886,2013,910.2975287874865,
2013-06-30,81.94309696457167,43.216497984287635,2013,953.5140267717742,
2013-07-31,59.05470137132503,0.1261562239406182,2013,953.6401829957148,
2013-08-31,68.93721792024112,0.0,2013,953.6401829957148,
2013-09-30,66.06645734746385,28.866880333715955,2013,982.5070633294307,
2013-10-31,38.324693170739494,21.589465745896458,2014,21.589465745896458,
2013-11-30,36.71000678423547,40.070117652470365,2014,61.65958339836682,
2013-12-31,23.110654953783516,35.43997963984158,2014,97.0995630382084,
2014-01-31,32.76644820179024,52.571320196804834,2014,149.67088323501324,
2014-02-28,30.37832133289639,288.5181964593622,2014,438.18907969437544,
2014-03-31,59.66499333632126,168.7746289467184,2014,606.9637086410938,
2014-04-30,63.23280319199989,92.11558024781493,2014,699.0792888889088,
2014-05-31,86.75463668415328,27.587066321238723,2014,726.6663552101475,
2014-06-30,73.62956573762526,0.5157683927237607,2014,727.1821236028712,
2014-07-31,46.58878659475912,8.088405923340995,2014,735.2705295262123,
2014-08-31,65.72890314338663,2.7858919133715583,2014,738.0564214395838,
2014-09-30,61.63118559367692,32.797178136771855,2014,770.8535995763557,
2014-10-31,39.10873845865398,17.635030027522923,2015,17.635030027522923,
2014-11-30,32.43075141085541,103.69831995050221,2015,121.33334997802513,
2014-12-31,21.15117757531557,248.61464499214588,2015,369.947994970171,
2015-01-31,35.354299668998515,3.309294261031537,2015,373.25728923120255,
2015-02-28,47.352143352791884,194.12041195515178,2015,567.3777011863543,
2015-03-31,61.381060218439124,27.027580332257987,2015,594.4052815186124,
2015-04-30,55.26315670627297,88.00024214492508,2015,682.4055236635375,
2015-05-31,90.50326347041614,63.57875950091759,2015,745.9842831644551,
