,wy,ESI_max,P,adjP,spring_rain,total_swe,snowfall_t,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,-0.7010017236073812,863.6651000370579,479.7956240102679,175.9642734494947,0.0,383.8694760267902,298.7870616360045,365.4771299369308,0.0,0.0,0.0
1,2002,1.714722792307536,1333.2600523018323,568.6224812707112,134.95920902148933,0.0,764.637571031121,258.8212285625194,358.4847779044056,0.0,355.2572843892009,0.0
2,2003,1.1294289429982505,1540.4371054100382,1045.3116960893772,394.3938260226493,0.0,495.1254093206612,285.4392599521879,304.5031392204982,55.39756545544236,358.4847779044056,0.0
3,2004,2.0256058375040693,1179.2699738052133,166.4450937276325,100.92363730186871,557.5,1012.8248800775809,250.5619790042615,296.7857046822005,0.0,304.5031392204982,0.0
4,2005,2.9752438863118487,1729.996073429752,1014.4995484245811,408.73914312253333,845.804347826087,715.4965250051707,306.39866957696705,211.790932282909,0.0,177.2338166789808,0.0
5,2006,1.2938706080118816,2197.6325722471543,550.1969785995924,334.9770301246339,1017.4130434782608,1647.435593647562,281.1372123479888,211.9879200514889,0.0,193.93280263687228,0.0
6,2007,1.1425859133402507,1075.6366217812158,495.4907156790898,154.24929652851858,374.3043478260869,580.145906102126,285.76504729238127,251.05218920753316,170.95746839009115,211.9879200514889,0.0
7,2008,1.5077501932779949,1008.3888786354452,258.3816023798316,57.65403884881812,701.2391304347825,750.0072762556138,250.60880157987734,306.2593796446352,118.77136611244026,198.39433977413142,0.0
8,2009,1.6373000144958496,1384.9123787947335,1127.5590706455291,259.9042153660279,594.3913043478261,257.35330814920417,302.8911506080449,289.5629581241821,148.09026959230587,277.97070987786395,0.0
9,2010,1.1998332341512044,1368.4011474889558,579.7923983665789,354.2357430078422,743.0217391304348,788.6087491223767,274.36910924020367,233.4003537523367,0.0,162.98565355458703,0.0
10,2011,2.6682535807291665,2145.1249603882566,896.259526203301,338.0192786529186,1299.7826086956522,1248.8654341849553,241.35689013616047,127.66802370806899,24.40623646524096,0.0,0.0
11,2012,1.6286274592081706,1038.5214569766054,1038.5214569766054,196.08829968142663,416.39130434782606,0.0,285.0850020772747,238.40727791863804,0.0,60.70762977711402,0.0
12,2013,1.8109472592671711,1229.9624756012754,640.3310215647815,166.59707415939138,373.32608695652175,589.6314540364941,299.26307436643134,232.27165622286475,195.92385535361376,192.95695652265476,0.0
13,2014,2.0569868087768555,968.3615723425987,585.8720572506357,150.39389712140442,278.0434782608696,382.48951509196297,290.29216452014964,205.71359550566598,54.534778822552326,232.27165622286475,0.0
14,2015,2.3114420572916665,899.5415581901364,674.0999578279296,222.78677788813403,180.69565217391306,225.44160036220674,319.72141254673875,271.7173748017595,154.44085829943404,204.56839967049152,0.0
15,2016,1.3125452995300293,1543.6965206207556,815.1043546677206,150.10554282746878,822.1304347826087,728.592165953035,311.7532280847529,271.3191187908165,0.0,222.818666802101,0.0
16,2017,4.247936248779297,2986.25910255466,1110.9827869263163,281.8334409907864,1569.0434782608695,1875.2763156283436,272.7351641046947,164.37434796375868,0.0,0.0,0.0
17,2018,3.2850373586018886,1376.6996174878616,1138.5495362724707,206.01221735080244,448.67391304347836,238.15008121539077,363.41813045284596,344.8729433753459,274.0053822101406,164.37434796375868,0.0
18,2019,2.1024433771769204,1879.8077546146874,511.9070993541759,234.95942973653987,1414.7608695652175,1367.9006552605115,320.3310476983961,214.49787246664494,112.6150953330842,335.06007612543203,0.0
19,2020,1.2154401938120525,953.8573117823026,518.2799242701929,188.98098798029744,524.8260869565217,435.5773875121099,329.8968830083942,355.8090018603425,257.4146499085284,200.43435718003175,0.0
20,2021,3.1594683329264317,780.7671449770513,319.50091714554515,50.72985088502526,528.3478260869565,461.2662278315064,0.0,186.40633759785692,171.24356998575067,355.8090018603425,0.0
