,wy,P,adjP,spring_rain,winter_P,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,802.6758722499438,802.6758722499438,159.3564818546358,627.8185895550971,0.0,0.0,368.7290965110959,192.1949238943878,115.06418864231827,189.70944807399428,0.0,0.0,0.0
1,2002,997.0412446948279,997.0412446948279,122.38782476077625,853.3152854491021,0.0,0.0,407.53525249101943,170.08961120507163,112.55106307609879,176.63930997838838,0.0,171.7159098318911,0.0
2,2003,1214.3591555830492,1214.3591555830492,350.4258363201766,814.7226564703368,0.0,0.0,460.87328108943746,202.06806243551986,111.85396361312303,162.6584120297975,53.46539759715088,176.63930997838838,0.0
3,2004,885.1130643205533,244.3736178833422,47.95741184657388,830.2556053470482,0.735106441672926,650.6523151909017,786.9639101575567,167.19131795374216,93.80804478083243,110.85262548014111,0.0,162.6584120297975,0.0
4,2005,1659.5218157934428,580.601870775736,258.7001837969821,1366.3908883557067,0.6747375435380252,1119.7416734362307,819.7159917813069,222.35775612833783,105.77396572001734,55.370337098862606,0.0,55.53768883329483,0.0
5,2006,1595.4597441234935,774.3576847170741,325.55652924648274,1215.0238138730233,0.5261421799212891,839.438667749797,1138.0180004598806,197.0941042607593,100.38845145287709,108.2820629017042,73.40017546955971,55.370337098862606,0.0
6,2007,630.4384409903232,264.5083028912168,77.16729171572285,529.4126947800328,0.5804375404588045,365.93013809910633,168.76001796729207,177.61532861776433,115.82086890029773,173.20807650898703,140.93219049931577,100.33239326892874,0.0
7,2008,884.7292194469402,164.0470313674723,56.064682396075696,827.1695300970753,0.8305404588305728,734.8034118602762,772.758905615797,178.62964781676106,124.82386325344568,177.631744712701,73.30798018857773,159.58007889314376,0.0
8,2009,1086.6445493959259,540.3633861125803,168.27174206686863,902.8547996600744,0.546167415999892,593.4898456539399,418.65565556604236,214.26780860910253,114.62688526220508,154.85152470537065,29.19838344862751,162.23779340683177,0.0
9,2010,1303.6074097963372,490.1455448035136,228.0941462175974,1016.4897209799394,0.6815312812685699,888.4492282696993,723.6115126432525,203.2685673145083,126.51230354154055,112.64429766449933,0.0,29.19838344862751,0.0
10,2011,1959.525513430573,651.4803359577635,218.23784757288175,1688.6266975493454,0.6737834878444048,1320.2959349593496,1329.8149270432511,188.6301636205073,107.22899171903917,40.3902808473566,0.0,0.0,0.0
11,2012,674.9927829549472,390.404080074384,157.01807177725428,508.40284423542664,0.43187814967467403,291.51463414634145,0.0,197.21786581858566,144.69370471224534,165.8904645582351,4.132570314128287,0.0,0.0
12,2013,840.8679681024107,405.63382176094746,75.42475194426481,743.1912224852622,0.5176010537345804,435.2341463414634,489.2225094136071,196.75813575486765,111.59019887112149,144.0434012606147,128.22894662847148,164.2816651231209,0.0
13,2014,564.7785065103162,365.97671934540966,141.78188083708915,401.3806574474053,0.35199956243603137,198.8017871649066,136.2209111363322,193.72887917438254,131.89528134752882,170.5378711662805,32.32739820088122,143.8813527828322,0.0
14,2015,561.665512885995,483.68231202445526,191.48835412687666,358.02223174175344,0.16661743242314422,93.58326563769292,163.1887076527733,215.18651788133033,145.13732253192387,111.81729223766453,0.0,170.5378711662805,0.0
15,2016,1111.3445029539866,525.1625370725893,128.38899496969537,980.1029509050375,0.5274529763932861,586.1819658813974,500.45216453725334,324.2470579765542,127.08765959973465,166.4886071335082,0.0,78.99328022563733,0.0
16,2017,2227.947931093489,923.0462251633506,206.57555947444735,1965.3682718613409,0.585696679764722,1304.901705930138,1588.8649114039438,310.4440688534076,129.172999255773,125.01110416463976,74.92585796324049,26.70991712464047,0.0
17,2018,887.8543840245103,422.498473340289,134.09946724858906,746.9288649084675,0.5468545545122155,485.5272136474411,0.0,343.5648603801746,143.67784399754441,180.42895723780921,148.25636798045696,125.01110416463976,0.0
18,2019,1452.5843801441956,353.6453062205561,204.62116913732325,1240.1561510758017,0.756540610614682,1098.9390739236392,815.0310797185566,309.0889302009351,105.39729628691236,126.17918738021248,53.467453414624686,178.74930065293609,33.63008546479017
19,2020,657.4481690943082,314.08973150681226,193.94796141761594,452.614162634108,0.5369528741452948,353.0186839967506,236.48477010537755,280.5152329927013,116.94489474380808,257.0699569609664,181.1337165415954,100.90075240481227,0.0
20,2021,556.9166607530882,196.77023175448892,68.12817282283336,481.3560273709327,0.6922996490210803,385.55320877335504,223.65427572674247,0.0,44.108203844341915,81.13921111012598,55.63332429634647,234.47363296290064,91.2883485484248
