,wy,ESI_max,P,adjP,total_swe,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,1.355635166168213,426.096999168396,426.096999168396,0.0,260.64,267.6909992599487,32.99400249481198,0.0,0.0
1,2002,1.7399944067001345,492.91100227832794,492.91100227832794,0.0,239.04000000000002,276.144000658989,16.763995471000726,267.6909992599487,0.0
2,2003,1.4650224447250366,597.1770052909851,597.1770052909851,0.0,290.56,313.03300120592115,258.11100072860717,276.144000658989,0.0
3,2004,1.4928134679794312,488.658000767231,154.658000767231,334.0,250.64,255.9509991979599,207.61599828243254,313.03300120592115,0.0
4,2005,2.537637948989868,751.824990272522,274.324990272522,477.5,322.0,268.742000579834,177.03700424194335,225.44099767208098,125.30600697994235
5,2006,1.623554229736328,813.7899965792894,483.28999657928944,330.5,305.28000000000003,270.5439996594191,237.20499958693983,268.742000579834,0.0
6,2007,1.2438470125198364,370.76199984550476,258.76199984550476,112.0,264.16,420.1139988678694,386.3359994477034,265.1830002850295,129.37799929320818
7,2008,1.8105374574661253,473.17899560928345,228.17899560928345,245.0,249.44,440.58400510489946,367.19800779044635,407.98999908149244,159.90300447165973
8,2009,2.6467976570129395,570.1739976406097,489.17399764060974,81.0,314.48,418.5890065640212,358.8010051602126,440.58400510489946,148.21700475394732
9,2010,2.2021820545196533,637.2480020523071,468.74800205230713,168.5,309.92,350.1410045117141,119.13600786864765,378.51900412261494,62.62400503814226
10,2011,2.041299819946289,1015.8800015449524,594.8800015449524,421.0,290.72,244.78899564445018,204.01299779891968,243.6650096386672,0.0
11,2012,1.3536112308502195,367.1110052615404,341.6110052615404,25.5,286.0,430.70799168288704,292.0439909809828,226.562995967865,164.5169923943281
12,2013,2.4605276584625244,480.9529995918274,348.4529995918274,132.5,306.8,549.5259910839795,471.26599127471445,430.70799168288704,213.8959907406569
13,2014,2.673224687576294,448.6079959869385,371.1079959869385,77.5,274.8,625.2199953335523,589.8149961346387,517.0569906109571,395.17599466979493
14,2015,2.5537288188934326,427.5569987297058,385.0569987297058,42.5,341.52000000000004,795.9759966725113,657.4840000599625,623.2699951046704,570.8009975308181
15,2016,2.448564052581787,701.6919975280762,567.1919975280762,134.5,282.55999999999995,613.2439991444351,378.13999523818507,769.5129972523453,394.52799847304846
16,2017,2.490561962127685,1402.7260143756866,1107.7260143756866,295.0,287.36,230.7799992656708,114.3199995326996,492.7829957264663,0.0
17,2018,1.3516091108322144,604.4189937114716,475.41899371147156,129.0,312.96,315.57699872016906,266.09399854660035,227.17599944114687,0.0
18,2019,1.969037771224976,799.5120000839233,308.51200008392334,491.0,271.84,259.660999956131,206.1859961414337,315.57699872016906,0.0
19,2020,1.052234768867493,417.25800681114197,289.25800681114197,128.0,300.71999999999997,373.0539931964874,299.272993440628,259.660999956131,99.39699345588681
20,2021,1.6869828701019287,399.91600036621094,232.41600036621094,167.5,0.0,432.057969883819,411.76040676641287,373.0539931964874,244.5712107594905
