,wy,P,adjP,spring_rain,winter_P,total_swe,snowfall_t,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,949.98757363959,949.98757363959,202.41663704403922,726.2579582386966,0.0,424.7426985244406,233.439667191365,266.132838100198,0.0,0.0,0.0
1,2002,1300.4116408225098,1300.4116408225098,166.86641394757578,1127.338439534045,0.0,483.02294841783623,209.72067910951205,231.19648980865654,0.0,247.86977498111406,0.0
2,2003,1440.3612517687682,1440.3612517687682,454.319374781649,917.4321150326866,0.0,404.19883798452526,229.1111490892737,177.20958222534003,76.46698244310889,231.19648980865654,0.0
3,2004,1125.6914497406963,299.0093207700048,122.98983251994551,996.6273882803334,829.8333333333335,821.2305831356825,210.49678884641332,167.10778398469677,37.70929846995064,177.20958222534003,0.0
4,2005,1701.4222578743465,622.7310021869379,378.604412071953,1293.1767445076646,1124.5,310.55329622985016,255.4336271643805,102.07376035213179,0.0,86.83898475974921,0.0
5,2006,1969.6888148694554,1215.0752933084873,380.1613257348448,1552.3536152006814,802.8589743589743,1230.548643776734,232.29622217225102,141.87812027326396,6.2554529786970505,71.19684142389667,0.0
6,2007,963.4779433086447,582.9779433086449,146.78410685677332,784.053527567937,380.50000000000006,218.2038251229541,227.86521250281092,186.12695784916127,165.38914192297034,121.85853215061037,0.0
7,2008,894.6606536704205,207.29791526967762,83.6706305038504,809.176864839787,795.8589743589745,693.3323111417607,202.60564425455368,221.45475281841044,81.25155332389157,173.569163868331,0.0
8,2009,1249.780601091757,697.1652775483527,228.01819597059247,1012.1401356313024,611.8205128205128,247.4575505597559,259.5242770407016,227.86593343984876,80.94613482885009,201.77089521859665,0.0
9,2010,1294.6026674984269,718.7768694890749,346.7360136722548,944.4566303132347,618.3589743589744,586.6960315548997,239.35099617719814,184.03472677077534,0.0,104.65305073304533,0.0
10,2011,2049.446144501872,744.6987958718211,298.19431331772614,1729.9258737831635,1344.5256410256409,687.8627298622649,225.61148639532271,98.07652517153862,4.49236095667608,0.0,0.0
11,2012,896.0322233564714,606.019402843651,189.53086017871877,682.1432055063377,290.01282051282044,0.0,234.83429727906463,179.04628999288758,0.0,32.113263290749885,0.0
12,2013,1057.3443515341746,683.3956335854567,169.7663842320982,856.0057730057661,373.948717948718,443.68961974269126,253.62575668990337,176.0089765245625,128.26515772892438,142.43458104971361,0.0
13,2014,876.2090622166163,647.978292985847,173.25385174147144,651.5556564451882,228.2307692307692,0.0,252.78153811558354,174.73453656918346,0.0,176.0089765245625,0.0
14,2015,875.6699529621937,774.6571324493733,237.9145854811863,624.7430363137258,101.01282051282051,249.4152586924005,281.25636159208455,186.56870393730338,0.0,174.73453656918346,0.0
15,2016,1419.362083649312,731.7082374954658,140.50872431621292,1265.4944614324097,687.653846153846,633.18078168636,296.0004497413987,247.71708780242187,0.0,134.8132349659337,0.0
16,2017,2700.0727431322116,1355.4958200552885,308.2597488009552,2296.342899477859,1344.576923076923,1681.3836685663973,288.62934562626486,156.80833653883744,0.0,0.0,0.0
17,2018,1169.0238910918863,818.2674808354758,170.44372748503318,997.4554215090309,350.75641025641033,0.0,331.37653699123007,303.91198344015675,259.28736459599213,156.80833653883744,0.0
18,2019,1755.71732709095,431.52501939864186,264.67096152391906,1461.0724789200867,1324.1923076923076,645.9682133186998,309.41752293061734,180.69342278456784,101.12060960044302,294.30558887620134,0.0
19,2020,963.6719062002537,358.3320184897514,222.97574590191044,730.5938589068021,629.1923076923076,333.5136722616481,299.6959144123214,323.2561072130566,170.88451516566397,170.32897210018515,0.0
20,2021,668.5927839548727,121.14812326293112,68.06043706824877,592.4409106362459,727.1666666666665,0.0,0.0,114.86333710953969,90.85184036229575,247.45903323487988,180.12949191034738
