,wy,P,adjP,spring_rain,winter_P,snow_frac,total_swe,snowfall_t,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,683.8732575663381,683.8732575663381,180.76031873020875,503.11293883612944,0.0,0.0,0.0,424.6674183903837,593.5573607587264,194.03904942873362,0.0,0.0
1,2002,859.8040797118454,859.8040797118454,76.18402204859396,783.5950087399865,0.0,0.0,0.0,393.14629568613077,565.6896538962126,141.01109992085716,593.5573607587264,27.033780791938
2,2003,1024.3829120741082,1024.3829120741082,266.1446671708106,750.8864984232384,0.0,0.0,0.0,395.83085728232345,514.0817666138712,315.78718337533996,565.6896538962126,0.0
3,2004,641.1089299172055,519.6289299172054,36.95526540094582,604.0012183359692,0.1894841801933538,121.48,0.0,369.77611812801257,591.2627919634439,422.9902813633382,514.0817666138712,122.82042804340142
4,2005,1182.0389887920621,1077.2923221253955,227.07763050050417,938.2308659674837,0.08861523829574214,104.74666666666666,0.0,398.60441515650723,493.29200287069057,356.92003167468584,507.5193929086094,0.0
5,2006,1026.682066570712,890.5487332373789,253.13193696445677,773.0061922474616,0.13259541367859007,136.13333333333333,0.0,408.1576276771004,491.58515984261896,344.1387388590329,468.34544296754586,0.0
6,2007,487.4845311511052,403.4578644844386,71.41759044876771,387.6455434446465,0.17236786256222966,84.02666666666667,0.0,374.14664470071375,821.0930336008568,690.0832870122251,463.78657709386624,271.39423516961426
7,2008,660.6242733324809,572.7976066658143,23.334732806379318,635.7249544236057,0.1329449585974644,87.82666666666668,0.0,374.8569748001707,957.2702938933083,818.6335832639575,783.2432681074057,433.40949002847947
8,2009,631.2894947126548,473.7028280459881,106.72477126378135,524.0515394896678,0.2496266261145304,157.5866666666667,0.0,370.08362682286895,1080.7759464051192,922.2512109805738,957.2702938933083,635.0259075037253
9,2010,988.303716143779,851.4370494771124,205.06301253648772,778.0645861970934,0.13848644341913538,136.86666666666667,0.0,356.64418329367254,877.2868449419184,378.95767280213045,1010.2401707046287,488.0892563907033
10,2011,1308.748977571551,1069.5223109048843,125.91255262709876,1176.791481831769,0.18279033700608016,239.22666666666666,0.0,326.83056196229165,374.0048348901191,287.4996071539708,872.1403515186048,0.0
11,2012,635.4307996961643,597.7143003578385,146.5956348166482,487.38549068797585,0.06257172302477551,39.76,0.0,381.6849545426811,607.3731590370534,438.40998284767954,352.94313334387715,85.61382223708688
12,2013,456.0262780004817,384.3862780004817,44.40411884364273,407.3133087960707,0.15709621014411002,71.64,0.0,380.4570138507536,964.7075347832346,839.6437747280266,607.3731590370534,440.3954520195446
13,2014,388.9755333587382,377.0022000254049,88.22695617380676,298.05831004775433,0.03078171326084604,11.973333333333333,0.0,357.26010860943313,1337.2165950593364,1209.5525026077905,936.2968669373669,858.4138725328462
14,2015,389.50775135187126,385.78775135187124,99.68142771067686,287.891606449381,0.009550515970706441,3.72,0.0,348.49879797425103,1672.393998963116,1471.8486147322474,1337.2165950593364,1291.5153731500973
15,2016,825.5042783668366,795.23761170017,71.88103061691365,753.4737702535789,0.036664457665253676,30.266666666666666,0.0,354.9448825431692,1635.2947526666158,1397.8866642936111,1672.393998963116,1173.4596555186745
16,2017,1489.1733982522298,1242.3333982522302,86.00089973958897,1390.8531835205167,0.1657563855825682,246.84,0.0,349.46014521935444,897.5349089096646,804.7168924282229,1624.2356103409898,449.3291309590746
17,2018,558.3670546595743,516.9090737805292,86.09768100704,471.57104488542404,0.07679536183620848,42.88,0.0,343.01634999084746,1032.6260185853916,933.0005143161278,897.5349089096646,602.8765204220089
18,2019,1153.2015815224433,784.0815815224435,164.20266299565012,985.9742258299586,0.32008280764989244,369.12,0.0,347.14515345658674,708.2561451798667,544.5321561799427,1031.5054380004724,392.4857189640897
19,2020,580.2177885477768,427.17808047090654,182.20534057918127,397.94678847803755,0.32622233191737826,189.28000000000003,0.0,372.09722618829693,840.2377742702511,718.9460395701474,640.7975434147697,396.83995535072313
20,2021,340.0829917455635,243.4829917455635,7.593695603048614,329.0762707305281,0.28404831274911935,96.6,0.0,0.0,1066.444855335517,1036.4187509433832,840.2377742702511,790.931086181567
