,wy,P,adjP,spring_rain,winter_P,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,827.3430296681363,827.3430296681363,173.8658767692133,634.2536885829472,0.0,0.0,411.29198842554973,172.3108720776998,106.72104404787589,143.68289943078733,0.0,0.0,0.0
1,2002,994.9782307583046,994.9782307583046,120.98664051201253,854.0104525243779,0.0,0.0,482.02713110176643,149.34381738332178,102.12156159560425,146.22556849246223,0.0,121.00268979039087,0.0
2,2003,1197.0651759181703,1197.0651759181703,338.3722549694448,816.5924329383224,0.0,0.0,462.4282582294897,182.4081258903602,100.40490567592823,137.5906763663464,42.50770661583638,146.22556849246223,0.0
3,2004,890.0346427678039,243.843000116507,44.307184302727215,836.825753509948,0.7260297651356454,646.1916426512968,791.7527817163835,145.71199155728524,84.04675410905836,82.59209136747623,0.0,137.5906763663464,0.0
4,2005,1663.3510398654562,556.5356373590474,258.5150922482441,1370.690188502319,0.6910098369426011,1149.391930835735,1123.0310882800286,202.73693642114193,96.02225955032732,47.0353443144995,0.0,58.65091763829027,0.0
5,2006,1579.4629017452567,692.5164322494198,328.77141479489995,1190.0990789278364,0.5637937766584413,890.4913544668589,1123.9518788856924,176.28939843425377,91.0523861037259,91.59265171211733,57.829177315271835,47.0353443144995,0.0
6,2007,609.0663931077402,225.86043953000694,74.2501644831049,511.721309893791,0.6482804268857476,394.8458213256484,391.5209437546056,155.33903023268076,105.44055806800367,145.61988683008806,119.02352479797767,82.21180608704512,0.0
7,2008,884.8181093400905,154.65805197300602,56.86892694714969,826.0788465226428,0.8540187964660287,755.6512968299711,775.4109745118242,157.49128370178835,113.93095182820656,149.5475101323112,51.98596921255748,133.53187456967495,0.0
8,2009,1077.099047190989,504.25030971454487,172.64704276572715,888.8156872919045,0.5867398610119613,631.9769452449568,571.7190831373431,196.575351435487,103.33660217390585,124.88520886333852,1.84783391821556,133.35162499661453,0.0
9,2010,1313.67433410755,446.11032604781286,211.18911307954633,1026.7316120261753,0.7508747590821775,986.4048991354466,841.0120695724952,185.27081604790908,116.59213591784787,94.74176348991425,0.0,1.9753737418243276,25.807293294394384
10,2011,1978.8536563459716,616.9424546059292,227.73035629122725,1700.475027899715,0.7146373960865797,1414.1628242074926,1354.8291331905843,172.13229358887259,98.2840883879873,51.58329799586104,0.0,0.0,0.0
11,2012,669.3011432366616,362.90572383202476,152.1887666300111,506.4633213499817,0.4918072384909576,329.16714697406337,0.0,175.15412449796554,134.68950635094276,137.01893944952417,23.35010705811864,0.0,0.0
12,2013,841.8485776390992,342.0064196693807,72.37728050627334,749.6816674453536,0.6005618421102623,505.5821325648416,523.8779469266178,173.77500781492165,101.41120362981673,111.3166025179925,97.29806081737642,135.13171845632138,0.0
13,2014,547.9914490909347,290.3920254598107,143.15245489844395,383.67908422288093,0.47007927597858823,257.59942363112395,128.0642133821081,170.92197661458937,121.10507079593481,141.15148476665826,25.755692195517284,109.83241990271306,0.0
14,2015,543.7684545590972,428.7419902335261,180.2005128990831,348.90608604472095,0.2517281817890505,136.88184438040346,165.1269323241492,194.70194746526164,133.5084784974248,77.16841079415906,0.0,141.15148476665826,0.0
15,2016,1084.0131696808546,464.8099996520362,130.55005464976213,950.4835862048395,0.5712136967958781,619.2031700288185,482.2581514193837,320.7406071237789,118.52773525551821,158.3830842009997,0.0,45.35358955093991,0.0
16,2017,2249.0099074360833,735.1453541219616,212.6165226254196,1981.4479298912725,0.6731248930067888,1513.8645533141214,1609.8981086081883,312.97045829925344,119.42154813631515,126.2461521660651,77.2384381909144,22.239314491521924,0.0
17,2018,874.2827798368384,307.39737141595094,135.2811461861948,732.9419088884575,0.6911387647070691,604.2507204610949,127.39326711473069,340.50622121504904,134.6947025450794,167.4329290579043,126.05121100440138,126.2461521660651,0.0
18,2019,1461.5113736309756,360.74048025921735,203.55812924385623,1250.6728791399346,0.7531729914882599,1100.770893371758,1043.916380176218,300.54520646117436,96.57813551411311,94.81715700541874,33.15451274183695,154.78682521287863,12.345990106434613
19,2020,651.2792227576277,304.4548958292314,192.69567528030623,447.6365732999261,0.540846479696528,352.2420749279538,378.7331159900507,265.87402971058043,108.15237225805211,246.92240971077618,163.22673882217418,75.75352006748108,0.0
20,2021,549.7397130399355,188.60982487168658,69.19842398297516,473.0437768634572,0.7056784730409862,387.9394812680116,340.3853114492308,0.0,38.8936332201927,68.59718589806931,44.1918643404453,209.67264817660975,106.07042756959146
