,wy,ESI_max,P,adjP,total_swe,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,-0.12037025798450815,1395.835718288848,1148.9700073640845,0.0,290.10329747039196,279.12409979140875,0.0,0.0,0.0
1,2002,1.2792258696122605,2269.6987167804355,2269.6987167804355,0.0,271.38925467206565,319.40673992613085,0.0,194.93913503204107,0.0
2,2003,1.5854570215398616,2871.1039818949203,2871.1039818949203,0.0,289.1440456786566,346.62417168542527,0.0,319.40673992613085,0.0
3,2004,1.8938547134399413,2235.097955832833,2235.097955832833,4.124814814814815,294.29547720302924,297.0818657931677,0.0,346.62417168542527,0.0
4,2005,2.18960259177468,2196.3119548583713,2196.3119548583713,0.09148148148148147,306.4854177326717,213.67578620669732,0.0,48.24955095895959,0.0
5,2006,0.97394136949019,3242.1175800095048,3242.1175800095048,0.6381481481481481,324.2254492468784,342.9583230390732,0.0,103.68882234304003,0.0
6,2007,2.000982999801636,2058.0768885615726,2058.0768885615726,3.750370370370371,312.0608515613087,257.72436468356045,0.0,342.9583230390732,0.0
7,2008,1.2183759862726384,2020.349801792685,2020.349801792685,3.1937037037037035,305.25271886277767,379.19285367373925,0.0,0.0,0.0
8,2009,1.3652681870894,1815.9477423228227,1815.9477423228227,4.5092592592592595,307.10853560597076,306.6096397545329,0.0,273.109912608914,0.0
9,2010,2.2952676500592912,2703.163195338117,2703.163195338117,0.65,275.10051405431983,180.89036627042685,0.0,190.75396460428783,0.0
10,2011,2.519112057156033,3184.4732045361748,3184.4732045361748,7.028888888888889,283.27406990732106,223.61455183372476,0.0,0.0,0.0
11,2012,1.6022704731334338,2604.224924568166,2604.2249245681655,0.5533333333333332,294.751138747226,224.55542453256203,0.0,4.289118166233436,0.0
12,2013,2.217519239945845,2933.022411956825,2933.0224119568247,3.7062962962962964,311.7015557174565,205.0141721488601,0.0,113.7058532373409,0.0
13,2014,1.7926911440762607,1186.1577458332497,1186.1577458332497,0.01111111111111111,312.85246132732453,231.77420509484176,0.0,46.84877980229074,0.0
14,2015,1.7037226937033914,2055.139151491382,2055.139151491382,0.008518518518518517,333.3358119991192,355.5768724115177,0.0,0.0,0.0
15,2016,0.7607066414572976,2324.525809350191,2324.525809350191,4.123703703703704,321.28929567442077,320.23347168912915,0.0,355.5768724115177,0.0
16,2017,1.767059326171875,3172.1655664067534,3172.1655664067534,1.1651851851851853,310.6954053641922,241.0102967179862,0.0,0.0,0.0
17,2018,2.4777567121717663,1547.6127233012567,1547.6127233012567,2.902592592592593,338.00695210179475,348.9269629286859,0.0,210.83572955654648,0.0
18,2019,2.560534043745561,2452.1672988025603,2452.1272988025603,5.155185185185185,322.5487104589891,266.3990958145161,0.0,345.18206870418953,0.0
19,2020,2.2601824673739346,1367.364579331358,1367.404579331358,5.275185185185185,322.26142559428024,332.67448575987584,0.0,254.99101142407898,0.0
20,2021,0.2973826148293235,1316.8514041377507,1201.3862686251562,5.03962962962963,0.0,259.3575242169343,244.62786288589706,332.67448575987584,0.0
