wy,wy,P,adjP,spring_rain,winter_P,winter_rain,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
2001,2001,871.7478211336319,871.7478211336319,195.52720976762217,676.0980251575338,676.0980251575338,0.0,0.0,190.0073757829337,359.84000000000003,152.88,475.38358549783777,25.216926588599165,0.0,0.0
2002,2002,940.9035486435068,940.9035486435068,105.0194122709077,835.1646881103516,835.1646881103516,0.0,0.0,0.0,344.24,169.04,453.9226566877037,0.0,472.1576205162325,0.0
2003,2003,1158.3287280181357,1158.3287280181357,304.57512977205477,814.86239170206,814.86239170206,0.0,0.0,246.33942071322736,342.08,173.44,411.4526574851726,227.9275599762489,453.9226566877037,0.0
2004,2004,697.3871417718393,397.3871417718393,27.141689972084915,669.1782794163144,370.17827941631435,0.43017713122412216,300.0,273.8879910173087,343.84000000000003,174.0,423.6424825475661,236.11206215740415,411.4526574851726,0.0
2005,2005,1375.9892402373512,583.1504204047137,214.95959102901918,1144.5707183048642,207.82071830486416,0.6807829397259061,936.75,0.0,353.76,153.12,355.71269064138676,149.5151708996707,372.0034471976873,77.05000374675967
2006,2006,1419.7197047266468,963.7197047266467,354.03562440543334,1019.4340803212133,609.6840803212133,0.32119016062244365,456.0,319.2750454606681,351.92,170.8,407.85782673408244,303.5410000820818,346.0137595011448,0.0
2007,2007,508.48092680963975,355.73092680963975,49.288379406106884,437.47213320896543,284.72213320896543,0.3004045814626693,152.75,0.0,338.0,188.72000000000003,612.097348898526,502.67017695854446,402.3042757192151,130.11614249525397
2008,2008,796.9825834796345,204.43003221010335,64.44496538926815,731.684031881135,43.434031881134956,0.8635696867992938,688.25,0.0,344.88,183.2,475.5954559961683,378.1359754369179,581.2825903991173,88.34545517715941
2009,2009,929.0582050126175,554.6730037228815,144.38272489350416,776.6921010510675,302.69210105106754,0.5101940841193718,474.0,0.0,338.96000000000004,181.36,334.738207404038,175.4440340726129,475.5954559961683,0.0
2010,2010,1219.3612436796056,441.18244697718785,167.59789101419776,972.1920767652578,135.44207676525775,0.7503928837682672,915.0,0.0,322.32,173.84,277.42555167148856,168.19176086212036,175.4440340726129,297.02296339824295
2011,2011,1726.3020635637743,526.599647308218,213.81962019821694,1489.2884097921437,281.28840979214374,0.6997616613550282,1208.0,0.0,305.12,161.20000000000002,261.6852079174436,202.2300002584786,185.2093099848978,0.0
2012,2012,609.7466070980861,388.41964808003655,146.22944108371075,461.9096142999057,207.40961429990568,0.4173864963533289,254.5,0.0,343.52,205.12,394.22193516402405,213.9980736801542,234.60465691730892,0.0
2013,2013,604.8961032217946,377.2798611090101,53.80151823060267,539.769412402449,252.519412402449,0.4748749388036234,287.25,0.0,351.6,190.72,497.3532452696767,415.1061417653642,394.22193516402405,49.57165925354788
2014,2014,476.45551931446994,447.20551931446994,136.75627644308682,312.4926223754883,283.2426223754883,0.06139083044328096,29.25,0.0,330.48,201.76,716.9559671008999,544.5805507779945,483.9970723107765,326.4533122294524
2015,2015,467.2359672743699,447.9859672743699,110.70303430228398,340.5497951178715,321.2997951178715,0.04119973920735437,19.25,0.0,338.56,215.04,910.0399998265302,771.8547897024815,716.9559671008999,557.9168272059542
2016,2016,930.5941435596424,716.5941435596424,108.10223908259951,821.9062838061102,607.9062838061102,0.22996061331465342,214.0,401.87782813762794,367.84000000000003,182.56,673.9258562668878,418.05630763765316,909.9977580105028,278.60013075746366
2017,2017,1858.482346485401,930.482346485401,190.98307459929896,1633.0434440086628,705.0434440086628,0.4993321576365535,928.0,732.6752193056304,368.0,184.4,392.1880343680547,314.8672070818934,580.3165170882105,0.0
2018,2018,786.1955542605498,565.1169683398871,109.75548446589501,675.8649318629298,445.6149318629298,0.29286606716640606,230.25,0.0,390.88,195.28,482.7150990642351,419.8783793225782,392.1880343680547,0.0
2019,2019,1403.0374145836665,396.32227631272946,212.3691722113511,1188.5637250439875,109.56372504398746,0.7690457779560922,1079.0,418.08231222218484,375.03999999999996,164.32,373.52300394847475,199.6607929821672,460.1832426641728,188.32834491384443
2020,2020,648.9881702291555,236.85941577779835,193.8506253998855,455.1375448292699,4.6375448292699275,0.6941574911002307,450.5,183.99937702047413,366.15999999999997,174.24,478.0389290092732,313.6,297.7962756538391,43.93782897751905
2021,2021,470.45366978645325,183.15373697774163,15.567182697098833,454.113190552284,150.86319055228398,0.6445905717722432,303.25,0.0,0.0,82.72,484.9818648580675,438.37945282803213,431.20000000000005,270.68868996321646
