wy,wy,P,adjP,spring_rain,winter_P,winter_rain,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
2001,2001,877.1879918277264,877.1879918277264,196.3670048415661,680.6729869842529,680.6729869842529,0.0,0.0,192.3419952392578,359.84000000000003,152.88,475.30399906277654,20.886992226839084,0.0,0.0
2002,2002,947.2289991378784,947.2289991378784,105.7989981174469,840.6370010375977,840.6370010375977,0.0,0.0,0.0,344.24,169.04,453.3440016174316,0.0,471.3819995510578,0.0
2003,2003,1161.9090003967285,1161.9090003967285,305.73699045181274,816.5660104751587,816.5660104751587,0.0,0.0,0.0,342.08,173.44,411.2190033149719,246.331010761261,453.3440016174316,0.0
2004,2004,698.7970043718815,375.7970043718815,27.361000329256058,670.4240040779114,347.4240040779114,0.4622229316657286,323.0,274.20098876953125,343.84000000000003,174.0,422.58699978232386,279.3529908406735,411.2190033149719,0.0
2005,2005,1382.1219974681735,542.1750065013766,216.7220050022006,1148.2009925842285,285.2009925842285,0.6244021885049785,863.0,0.0,353.76,153.12,400.17600103646515,181.6999994495511,356.79199856162074,21.755005611181275
2006,2006,1425.3540134429932,1092.3540134429932,402.16600227355957,1023.1880111694336,690.1880111694336,0.23362617066312297,333.0,320.8340148925781,351.92,170.8,407.00099903106695,302.885000076294,390.6570009449124,0.0
2007,2007,510.76199436187744,363.76199436187744,49.48900032043457,439.05499362945557,292.05499362945557,0.2878052823481024,147.0,0.0,338.0,188.72000000000003,609.1140055274964,499.8580059432984,401.38799983978276,127.66000598907476
2008,2008,801.7599970400333,295.75999704003334,65.23499968647957,735.6549973487854,229.6549973487854,0.6311115569098847,506.0,0.0,344.88,183.2,467.15700952887545,368.9470122754575,578.2470056533814,63.9140083587171
2009,2009,935.1099977493286,570.7340059280396,144.84600067138672,781.9769973754883,315.9769973754883,0.49833709523114184,466.0,0.0,338.96000000000004,181.36,366.230998954773,205.040998954773,467.15700952887545,0.0
2010,2010,1226.3860017061234,537.0059968233109,229.51599299907684,977.4200086593628,235.4200086593628,0.6197070081872293,760.0,212.6020050048828,322.32,173.84,277.2539999341965,93.4410012769699,205.040998954773,166.92799713134767
2011,2011,1737.065996170044,610.6689929962158,214.59199953079224,1498.5179977416992,351.5179977416992,0.6603088210401642,1147.0,0.0,305.12,161.20000000000002,261.0890012359619,202.30900032043456,183.17199981212616,0.0
2012,2012,610.3431868553162,394.90019369125366,146.57419443130493,462.1109924316406,232.11099243164062,0.3768371712069627,230.0,0.0,343.52,205.12,452.9608008766174,265.73479684829704,233.5130020904541,0.0
2013,2013,608.2550052404404,386.13900411129,53.72100126743317,542.8890037536621,307.8890037536621,0.38635111585658977,235.0,0.0,351.6,190.72,552.82779484272,471.06879494190207,452.9608008766174,105.32879526138296
2014,2014,479.61100244522095,469.61100244522095,137.42400074005127,314.40600204467773,304.40600204467773,0.020850230601501173,10.0,0.0,330.48,201.76,769.4347922754289,595.6857908105851,539.4927943086624,372.52079243183135
2015,2015,470.1590008735657,451.1590008735657,111.64099979400635,342.2610011100769,323.2610011100769,0.040411860593326056,19.0,0.0,338.56,215.04,959.5957914018634,816.2977863359454,769.4347922754289,608.4427911043168
2016,2016,932.9570068379398,789.9570068379398,108.40699672698975,823.9260101318359,680.9260101318359,0.15327608769954815,143.0,402.4550018310547,367.84000000000003,182.56,721.1187845639236,418.8297881344801,959.5847910356524,325.69078300952935
2017,2017,1867.8360042572021,1158.8360042572021,192.84400606155396,1639.857997894287,930.8579978942871,0.37958364566484193,709.0,733.6190185546875,368.0,184.4,413.25999996185305,336.51600036621096,625.7027921322829,0.0
2018,2018,791.0540012717247,689.1540016531944,110.3790020942688,680.0869991779327,556.0869991779327,0.15675288893129102,124.0,0.0,390.88,195.28,480.75800004243854,382.93199753999716,413.25999996185305,0.0
2019,2019,1416.0729990005493,628.6109972000122,212.8309998512268,1201.091999053955,394.0919990539551,0.569885874929875,807.0,422.8450012207031,375.03999999999996,164.32,459.16200176239016,310.47699972152714,458.55500169038777,0.0
2020,2020,652.829999923706,334.9740047454834,195.94600677490234,456.8839931488037,111.88399314880371,0.5284683608907662,345.0,184.93299865722656,366.15999999999997,174.24,516.3039979171754,360.37699970245365,408.5669996261597,29.670999031066913
2021,2021,477.2048888653517,243.0170875042677,15.29600004851818,461.12518882751465,192.12518882751465,0.5636991704749721,269.0,0.0,0.0,82.72,554.6707281994946,485.119841611687,477.97699970245367,255.78100283007674
