,wy,P,adjP,spring_rain,winter_P,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,476.7572297530694,476.7572297530694,118.68843564125045,345.60264659965577,0.0,0.0,209.28368595082276,254.16307381737437,142.20734476269908,314.41249578447304,0.0,0.0,0.0
1,2002,697.2199980360693,697.2199980360693,93.33224485743614,601.1980097151023,0.0,0.0,284.76149205873395,226.5321714554875,141.50802875394862,298.3251499892909,0.0,314.41249578447304,0.0
2,2003,844.0114208103615,844.0114208103615,228.71516081948678,558.1124783033097,0.0,0.0,299.8688067930879,257.8441531525468,138.44513828140768,262.89969722603877,182.65199185141046,298.3251499892909,0.0
3,2004,630.3529912577269,151.7956206446015,45.32248469511943,576.3938403920606,0.7946515140741301,500.91095890410963,466.2414113604833,227.8772811617587,116.60531874026724,212.35099798847494,161.91445624368973,262.89969722603877,0.0
4,2005,971.1170891237556,338.8356623631922,179.18434812584144,754.4773065847309,0.7137099101369364,693.0958904109589,391.40243860763337,289.54287212585723,132.37374747882217,93.7479803830607,0.0,192.47500948615843,231.91641644278735
5,2006,1121.7782369316676,353.38568777074306,139.25507389805034,936.8264806389013,0.7529630246321378,844.6575342465753,747.1622218275093,267.426599435256,136.48769665187575,136.8344887226395,90.50305961528291,90.34755771762897,37.49097686215087
6,2007,550.2012497261129,256.53024675072595,68.74076058116255,452.5659141081514,0.5576913282297508,306.8424657534247,298.609531094951,249.97723275514312,143.56854376764824,266.77661256583986,208.3729589867483,133.2856328180858,0.0
7,2008,613.3565727774317,149.30333062994052,61.31207276736537,551.2235307376079,0.8951082817277125,549.0205479452055,462.5463928324226,224.98000806776918,158.44054860830977,236.84251458323138,166.92795512151596,232.9923020515823,145.65379094676513
8,2009,727.1413887353012,343.41652098278473,129.33828067653351,586.5045345802522,0.5685992589606642,413.45205479452056,178.37650344973645,287.04558289632917,149.3296248487293,248.04170688685994,178.80138988634656,236.84251458323138,28.24006007989533
9,2010,809.7530396767744,397.90605124664455,170.92401701757507,607.5519436603319,0.5751711355456915,465.74657534246575,361.15081566001476,272.6095038321904,144.44190399354576,178.57711672098912,0.0,178.80138988634656,168.2790344813359
10,2011,1337.4585396801576,496.8164049418929,200.00315380987607,1126.1933088200067,0.697745351923375,933.2054794520548,473.2826387714986,241.50230738200895,132.62287212585724,118.7397803606536,66.44645631523973,15.248311518340103,0.0
11,2012,536.1180906356205,312.2961728274013,101.62906854175876,413.66498345347225,0.41748622498982707,223.82191780821918,0.0,258.245550888747,174.22588154800914,220.37817937936725,123.65750453381337,110.60717792004397,1.4447946262983749
12,2013,711.0533232264071,407.1697615825716,161.38011536107453,519.2923311645168,0.42737098852862804,303.88356164383566,322.7063463707185,273.9019817882464,148.33054534457844,242.31169664180376,167.42712441116504,199.40295094215662,0.0
13,2014,648.8444031462916,426.7827593106752,114.90105259314531,444.7514458649963,0.34224174973048105,222.06164383561648,232.54311869416676,258.2400913947781,163.15097745371457,187.36520666750175,159.51247854386418,225.07645548056874,43.65362150878036
14,2015,538.3184278187115,407.6129483666568,217.86337459386465,314.0231427714206,0.24280327905860247,130.70547945205476,100.09803284050805,310.3179355532409,176.62831759685488,236.91971138336586,157.33706875124932,187.36520666750175,32.91220208526759
15,2016,923.737690104076,407.2171421588706,141.35345593755835,775.5064135003079,0.55916366028868,516.5205479452055,386.1508130934443,292.9557770236215,153.53108833708535,190.69967740173132,0.0,214.21561897133512,0.0
16,2017,1731.6038527930325,619.548866807962,180.92359814247718,1461.4051973798978,0.665552112788856,1152.472602739726,1066.0395414408085,275.1843783166521,155.1618150187952,91.80153132902396,0.0,20.76268542883139,0.0
17,2018,764.0536712012868,412.22490407799904,133.21801944201383,627.8735257782083,0.4604765088951452,351.82876712328766,35.2402933807295,347.2713857728216,158.7810069929729,338.9958330058195,261.38884689175393,91.80153132902396,0.0
18,2019,1020.1646563647895,216.9993137885368,131.30803004461134,866.1902888386419,0.838079859678134,854.9794520547946,598.3766800704151,304.40323500524937,128.1511662072907,206.84162691944272,135.88812077654734,320.6575804104118,126.49546886205354
19,2020,555.9652823265096,281.18446040870134,119.3834979022642,428.7440055826049,0.49424097268799205,274.7808219178082,234.15080854920814,301.5344788570701,144.84597326090176,315.8692322702851,223.6332929035772,193.47924157000966,1.5658088532841532
20,2021,497.91339642755565,202.33805396180236,81.37436958221186,411.01136225257477,0.593628017616028,295.57534246575335,68.0702525176455,0.0,59.15430570035308,229.8540000530693,200.00406211071422,315.8692322702851,165.49904813419113
