,wy,P,adjP,spring_rain,winter_P,total_swe,snowfall_t,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,900.7864934352585,900.7864934352585,170.76454203442538,716.2239631043035,0.0,0.0,323.75570028169005,433.5531644237026,0.0,0.0,0.0
1,2002,1112.767436696776,1112.767436696776,122.47916501051292,989.4414796578028,0.0,0.0,322.34556394366194,420.68760484803863,0.0,433.5531644237026,0.0
2,2003,1190.1893075401954,1190.1893075401954,379.95733607735673,774.6484978941764,0.0,350.8170007745534,322.6029430985914,381.5637288548455,35.10220657476009,420.68760484803863,0.0
3,2004,917.4488660715366,784.8705528185245,44.29691829527648,866.7383146899924,132.57831325301208,0.0,325.547556056338,394.6336387287561,17.054547938358894,381.5637288548455,20.918579603327423
4,2005,1585.9379729590669,1470.2632741638863,309.2731476072611,1263.0103165975602,115.67469879518072,0.0,346.3849915492957,319.7213831854613,0.0,232.59005522573892,0.0
5,2006,1730.3493299980557,1610.1445107209472,365.8017238523345,1364.3462310257446,120.20481927710844,0.0,344.33217802816904,389.1491265250113,189.63755367746563,319.7213831854613,0.0
6,2007,846.2084239266063,731.0517974205824,124.04670730088274,707.8714349384637,115.15662650602407,0.0,345.68956394366194,412.3973177226596,290.83641065507453,389.1491265250113,0.0
7,2008,837.5663607066048,701.5422643210626,84.41983781295042,753.1373975530308,136.02409638554218,0.0,339.76512901408444,398.73567719783665,244.4344290907517,400.1842594755923,27.006511883895598
8,2009,1095.574293767388,958.3212817191952,201.3087411610457,889.7604399810155,137.25301204819277,0.0,353.26780394366193,361.4550503463383,133.97827016402744,398.73567719783665,0.0
9,2010,1188.3945060561741,1083.8643855742464,338.52142352765793,849.7130434762121,104.53012048192772,0.0,323.36181183098586,365.1201435187946,0.0,273.74922366695716,0.0
10,2011,1883.1178305009407,1536.009396766001,254.28636148136164,1620.5069104505606,347.1084337349398,0.0,317.23183774647873,269.4674563052553,198.9556700855415,167.6302395755626,0.0
11,2012,862.633831455857,829.5494941064594,214.93899964008622,642.4363304956138,33.084337349397586,0.0,333.2745645070421,369.3406038983827,0.0,218.47290818000093,0.0
12,2013,982.5070633294307,896.6395934499127,149.88747104219556,803.7527119535192,85.86746987951805,0.0,352.28325859154927,340.0448665096192,279.0811058049112,358.7964013058296,1.5875555852551955
13,2014,770.8535995763557,762.3716718655123,128.3068208851184,606.9637086410938,8.481927710843374,0.0,336.563894084507,396.4885387216499,103.57687685723019,340.0448665096192,0.0
14,2015,775.4403683605195,773.5488020954591,178.02439021187195,594.4052815186124,1.891566265060241,0.0,346.00599436619706,355.9207778080171,0.0,396.4885387216499,10.164095744435798
15,2016,1348.3953321418076,1260.9615972020486,122.89182845805922,1224.2845482128953,87.43373493975905,0.0,342.2899019718309,393.224914300793,0.0,322.59888439956836,0.0
16,2017,2391.4470560344494,2111.8325982031242,259.2460605625087,2108.6115502713487,279.61445783132524,0.0,357.9986749295774,420.5213659646657,216.2380969808981,134.57797929442967,0.0
17,2018,1044.9118652039765,1019.0684917100008,143.30916697920986,901.6026982247669,25.8433734939759,0.0,359.5409847887323,455.12628408692143,240.24147658964554,420.5213659646657,0.0
18,2019,1651.3474113942884,1441.0100619966984,269.9107890691638,1352.956130037299,210.33734939759037,488.5339010656151,357.0256766197183,410.07077172007996,109.75244471423645,455.12628408692143,0.0
19,2020,857.664396180317,697.8812636501966,187.98278026068948,667.6184061123963,159.7831325301205,0.0,363.86914253521127,453.023363462665,313.47742381951423,379.38357165442204,0.0
20,2021,577.8449634652791,391.03773454961635,34.117988042056844,537.1613487638635,186.80722891566262,0.0,0.0,455.29349191411643,403.1847080171057,453.023363462665,172.01393628521217
