,T
2000-10-31,16.710344027205508
2000-11-30,7.039590897913456
2000-12-31,9.811462835345708
2001-01-31,5.356829468763635
2001-02-28,3.356716690120038
2001-03-31,14.771929575183947
2001-04-30,13.367944353479572
2001-05-31,27.19239964373753
2001-06-30,27.408691545063675
2001-07-31,29.755541231084806
2001-08-31,32.02188297317247
2001-09-30,26.63069705093841
2001-10-31,21.646827344645033
2001-11-30,11.039198229483532
2001-12-31,2.7972056786081225
2002-01-31,3.320365798801731
2002-02-28,10.569777515878911
2002-03-31,12.29714626357179
2002-04-30,19.083062837744706
2002-05-31,21.576872537200643
2002-06-30,28.698924735052287
2002-07-31,31.342938535725352
2002-08-31,30.542474584810293
2002-09-30,27.71990652608099
2002-10-31,19.607595887987316
2002-11-30,12.332184986595223
2002-12-31,-0.49858701734672195
2003-01-31,9.49457860265943
2003-02-28,8.112386598772844
2003-03-31,12.964394893571182
2003-04-30,10.627451938796185
2003-05-31,21.620702282410946
2003-06-30,28.118205642622
2003-07-31,32.0842242294475
2003-08-31,29.096231354697068
2003-09-30,27.733507566079595
2003-10-31,24.59512082336221
2003-11-30,8.092234377530247
2003-12-31,1.1873877683215142
2004-01-31,4.208263670223232
2004-02-29,4.879137682854434
2004-03-31,17.483281933173885
2004-04-30,20.197869946188632
2004-05-31,21.545894584690416
2004-06-30,28.157350972524682
2004-07-31,31.920679597675246
2004-08-31,30.923971606959753
2004-09-30,27.41871331665982
2004-10-31,16.269640588732784
2004-11-30,8.562457311477772
2004-12-31,9.686128374447435
2005-01-31,3.5329425330930917
2005-02-28,8.73918599420631
2005-03-31,11.874075156989477
2005-04-30,14.096130665322164
2005-05-31,20.298326662514853
2005-06-30,24.674105295356014
2005-07-31,31.15513737697262
2005-08-31,29.685488241538735
2005-09-30,22.178474368893774
2005-10-31,18.51864386346881
2005-11-30,11.294420821431572
2005-12-31,8.630439870210012
2006-01-31,6.577273075090545
2006-02-28,9.790917216304479
2006-03-31,3.352666767767005
2006-04-30,14.240313547678852
2006-05-31,23.910958130161873
2006-06-30,29.383192687622625
2006-07-31,31.738621102254626
2006-08-31,29.590130179750645
2006-09-30,23.867521186821932
2006-10-31,18.14333789157388
2006-11-30,10.039294312395441
2006-12-31,4.814599291860986
2007-01-31,6.9403702970653285
2007-02-28,8.674683772064043
2007-03-31,15.555830568244573
2007-04-30,16.571907143842452
2007-05-31,23.59190330532425
2007-06-30,28.49657565179848
2007-07-31,31.65965120463511
2007-08-31,30.555141605340395
2007-09-30,22.498536534897482
2007-10-31,17.840945415069882
2007-11-30,13.384324990553637
2007-12-31,5.641733990679711
2008-01-31,3.3141019755238403
2008-02-29,6.5807532672722004
