,T
2000-10-31,10.50833621434748
2000-11-30,4.0090982425814445
2000-12-31,6.223414001728713
2001-01-31,0.5267912705273261
2001-02-28,-0.6884334485738464
2001-03-31,5.923074762316446
2001-04-30,5.88602131950455
2001-05-31,19.55657951598971
2001-06-30,25.817237107461892
2001-07-31,24.50943820224728
2001-08-31,26.811058772688057
2001-09-30,22.24792999135701
2001-10-31,15.72510227600128
2001-11-30,5.041006914433979
2001-12-31,-0.23740492653405454
2002-01-31,1.1777917026794285
2002-02-28,4.118191443388184
2002-03-31,4.005733565423213
2002-04-30,7.981103428406925
2002-05-31,16.313420484010464
2002-06-30,24.786127917026874
2002-07-31,27.422711754537715
2002-08-31,25.59468885047545
2002-09-30,21.28648660328446
2002-10-31,14.799248055315559
2002-11-30,8.909256698357922
2002-12-31,-0.34308340535858406
2003-01-31,5.8599308556612755
2003-02-28,1.1033146067416624
2003-03-31,4.8476188418324
2003-04-30,3.9439033592854003
2003-05-31,15.447804667242963
2003-06-30,24.716970613656088
2003-07-31,26.480870786516903
2003-08-31,23.781663785652654
2003-09-30,22.509554883319026
2003-10-31,20.218991645059134
2003-11-30,1.6850907519448128
2003-12-31,-3.4938231057331564
2004-01-31,0.3394230769231399
2004-02-29,0.2547342264478516
2004-03-31,8.628630077787477
2004-04-30,11.529494382022563
2004-05-31,17.42649092480559
2004-06-30,24.555384615384696
2004-07-31,26.538800777873917
2004-08-31,25.313617113223927
2004-09-30,21.36194468452902
2004-10-31,9.765881590319964
2004-11-30,3.34907807548268
2004-12-31,4.771103428406832
2005-01-31,0.8944382022472723
2005-02-28,1.1438159031980035
2005-03-31,3.820192307692423
2005-04-30,4.273212330740478
2005-05-31,10.4494835782196
2005-06-30,18.49953975799491
2005-07-31,27.47349611063106
2005-08-31,24.502420051858394
2005-09-30,17.448625756266267
2005-10-31,14.354042062806172
2005-11-30,8.905226879861857
2005-12-31,2.278089887640533
2006-01-31,1.3873141745895623
2006-02-28,3.192541054451226
2006-03-31,-0.47569792566980595
2006-04-30,7.718651685393354
2006-05-31,12.032826274848787
2006-06-30,24.202450302506577
2006-07-31,26.225713050994045
2006-08-31,25.02280466724295
2006-09-30,18.754948141745956
2006-10-31,13.184624027657833
2006-11-30,8.123117977528182
2006-12-31,1.572925669835854
2007-01-31,3.314872515125444
2007-02-28,1.8641789109767615
2007-03-31,9.016577355229117
2007-04-30,9.580679919331658
2007-05-31,18.853308124459886
2007-06-30,25.41446197061373
2007-07-31,27.247633967156503
2007-08-31,26.035112359550624
2007-09-30,18.547638288677717
2007-10-31,15.563197925669954
2007-11-30,11.22275929127062
2007-12-31,3.9968885047537697
2008-01-31,2.3460760587727805
2008-02-29,3.4267653414002552
2008-03-31,4.258610630942201
2008-04-30,7.30943388072609
2008-05-31,15.744148660328506
2008-06-30,24.134693171996673
2008-07-31,27.03167026793443
2008-08-31,26.287087294727883
2008-09-30,20.99945764909262
2008-10-31,14.644265341400285
2008-11-30,11.855675597810489
2008-12-31,2.911022039758109
2009-01-31,5.6102787381158805
2009-02-28,0.5996672428696002
2009-03-31,5.105525064822928
2009-04-30,7.810259291270597
2009-05-31,18.61552506482292
2009-06-30,21.053422644771047
2009-07-31,27.196607605877375
2009-08-31,24.546661624892067
2009-09-30,21.719634831460723
2009-10-31,14.175992509363425
2009-11-30,8.97414649956795
2009-12-31,-0.8020375972341185
2010-01-31,0.14791702679349328
2010-02-28,0.7809788245463665
2010-03-31,3.4062964563527203
2010-04-30,7.50692883895141
2010-05-31,7.893550129645746
2010-06-30,19.464364736387324
2010-07-31,26.338941227312148
2010-08-31,24.83861711322396
2010-09-30,21.37418971477973
2010-10-31,11.25305675597815
2010-11-30,7.729254537597342
2010-12-31,0.5395959377701729
2011-01-31,2.6532670700087806
2011-02-28,0.9172234226448381
2011-03-31,4.266089023336292
2011-04-30,3.8616364160184844
2011-05-31,8.557350907519549
2011-06-30,17.14125540190156
2011-07-31,24.772426534140152
2011-08-31,24.676977095937843
2011-09-30,20.24603500432164
2011-10-31,14.449660040334265
2011-11-30,7.268336214347528
2011-12-31,4.580542350907649
2012-01-31,5.958606309420986
2012-02-29,4.485291702679433
2012-03-31,2.843943091100641
2012-04-30,10.975911840968081
2012-05-31,20.62124747911281
2012-06-30,24.37907735522913
2012-07-31,26.62812013828875
2012-08-31,26.588543647363963
2012-09-30,22.889034140017372
2012-10-31,15.455458081244728
2012-11-30,9.176441947565593
2012-12-31,1.566564390665576
2013-01-31,2.6880726015558025
2013-02-28,3.2313180639586108
2013-03-31,8.04167675021614
2013-04-30,13.761933160472552
2013-05-31,19.977787381158294
2013-06-30,25.92388936905803
2013-07-31,27.51540838375115
2013-08-31,24.62642826274856
2013-09-30,19.907247191011322
2013-10-31,14.550622299049337
2013-11-30,9.718035868625861
2013-12-31,5.320509939498777
2014-01-31,8.662582108902427
2014-02-28,3.7652751368482313
2014-03-31,7.81013180639593
2014-04-30,11.888182080092236
2014-05-31,19.061251080380373
2014-06-30,26.78759291270535
2014-07-31,27.582895419187594
2014-08-31,24.412992653414108
2014-09-30,21.429844425237775
2014-10-31,17.040210314030617
2014-11-30,9.83588375108053
2014-12-31,1.4078176318064948
2015-01-31,6.643275713051082
2015-02-28,9.343861279170312
2015-03-31,11.517113223854892
2015-04-30,14.335707288965807
2015-05-31,16.113686257562733
2015-06-30,24.698569576491025
2015-07-31,25.262463267070075
2015-08-31,24.944373379429692
2015-09-30,22.114105445116763
2015-10-31,16.898913857677996
2015-11-30,5.329373379429626
2015-12-31,-2.2361949006049144
