Unnamed: 0,ET,P,wy,sumP,D
2000-10-31,,130.94996683834162,2001,130.94996683834162,
2000-11-30,,78.4472987633625,2001,209.39726560170413,
2000-12-31,,100.05859369176031,2001,309.4558592934645,
2001-01-31,28.409577025532656,121.3199743605752,2001,430.7758336540397,
2001-02-28,37.1612297326204,225.94082851264312,2001,656.7166621666828,
2001-03-31,38.29569877286386,94.8841399855286,2001,751.6008021522113,
2001-04-30,32.73246027503815,160.82380984939692,2001,912.4246120016082,
2001-05-31,38.92875950957789,24.491409177998552,2001,936.9160211796068,
2001-06-30,29.481854811797252,0.5442099334629437,2001,937.4602311130698,
2001-07-31,53.50851999431546,0.005263358941088423,2001,937.4654944720108,
2001-08-31,34.420119758187944,0.0013435115141950489,2001,937.4668379835249,
2001-09-30,41.86893481578185,19.898358548870522,2001,957.3651965323957,
2001-10-31,20.663313693555093,54.119434589648044,2002,54.119434589648044,
2001-11-30,23.148387673947237,319.11034003104874,2002,373.2297746206968,
2001-12-31,24.60499670965845,405.15826381071815,2002,778.388038431415,
2002-01-31,30.13374241898328,201.01814543745894,2002,979.4061838688741,
2002-02-28,31.488885805776448,111.43607047859949,2002,1090.8422543474735,
2002-03-31,4.986624672774868,245.04693242429772,2002,1335.8891867717712,
2002-04-30,22.410532126235594,93.97656302415686,2002,1429.865749795928,
2002-05-31,31.588728977901226,42.04566473633278,2002,1471.9114145322608,
2002-06-30,49.73240988803301,0.0,2002,1471.9114145322608,
2002-07-31,52.5389214110805,6.883923503278775,2002,1478.7953380355395,
2002-08-31,42.34850397918579,3.924183146644185,2002,1482.7195211821838,
2002-09-30,41.14358712308356,0.11232442283675867,2002,1482.8318456050204,
2002-10-31,18.595954057626102,2.633984812343393,2003,2.633984812343393,
2002-11-30,21.772326432432575,318.4526587333388,2003,321.0866435456822,
2002-12-31,20.840597139371766,489.45251942408896,2003,810.5391629697713,
2003-01-31,31.95416912713581,167.69830427096997,2003,978.2374672407412,
2003-02-28,30.1642686270666,71.72359609239885,2003,1049.9610633331401,
2003-03-31,16.950452426698572,172.8871282329996,2003,1222.8481915661396,
2003-04-30,13.670398773006136,329.8791028670682,2003,1552.7272944332076,
2003-05-31,19.922933837927214,76.08753649879047,2003,1628.8148309319986,
2003-06-30,51.073514769927215,7.747713769665201,2003,1636.5625447016635,
2003-07-31,49.13150684363582,5.066106958243682,2003,1641.6286516599068,
2003-08-31,54.227597949188855,35.581816949917155,2003,1677.210468609824,
2003-09-30,40.86651553412917,7.028324463895259,2003,1684.238793073719,
2003-10-31,21.417913929086595,2.85586640386636,2004,2.85586640386636,
2003-11-30,19.111995051213132,147.54315272906354,2004,150.3990191329299,
2003-12-31,17.564764483829848,515.6095767421576,2004,666.0085958750875,
2004-01-31,32.04203314699749,171.87614004120567,2004,837.8847359162932,
2004-02-29,15.130745881591642,312.28391737610326,2004,1150.1686532923966,
2004-03-31,29.27367056677374,56.41913713935676,2004,1206.5877904317529,
2004-04-30,30.985485223024497,50.86443601127799,2004,1257.4522264430313,
2004-05-31,33.085671353473124,51.56700789473438,2004,1309.0192343377655,
2004-06-30,56.33146254435045,3.137568742264317,2004,1312.1568030800302,
2004-07-31,56.21837695133149,3.5376870714071136,2004,1315.694490151437,
2004-08-31,39.998737373737384,0.0985190835203762,2004,1315.7930092349575,
2004-09-30,40.14246632996631,13.191950503196423,2004,1328.984959738154,
2004-10-31,31.865484979684872,233.72512200042488,2005,233.72512200042488,
2004-11-30,21.49336373469857,85.56553632430446,2005,319.2906583247293,
2004-12-31,18.06044402465936,262.0504710656086,2005,581.341129390338,
2005-01-31,21.878216163844446,408.20195857623156,2005,989.5430879665697,
2005-02-28,38.21153950369037,117.31628202482031,2005,1106.8593699913897,
2005-03-31,25.283507735656706,315.30794018461506,2005,1422.1673101760045,
2005-04-30,36.32893673862967,98.19192927120295,2005,1520.3592394472075,
2005-05-31,56.05123414929413,240.60240499481895,2005,1760.9616444420267,
2005-06-30,52.782288564116286,87.78646879705762,2005,1848.7481132390838,
2005-07-31,54.59235055349465,0.004503816821192967,2005,1848.7526170559051,
2005-08-31,55.6683692990511,5.402976953346309,2005,1854.1555940092521,
2005-09-30,44.449361704936315,13.747442802400075,2005,1867.9030368116519,
2005-10-31,24.17864939442386,54.16150470180364,2006,54.16150470180364,
2005-11-30,25.093718050185213,189.9524880329161,2006,244.11399273471974,
2005-12-31,19.516851003353477,722.5763929527224,2006,966.690385687442,
2006-01-31,30.210736539965954,470.5653615471061,2006,1437.2557472345486,
2006-02-28,31.70064668860846,252.0740129893063,2006,1689.3297602238547,
2006-03-31,28.0766717325228,407.39305254521264,2006,2096.7228127690673,
2006-04-30,23.576867905409607,296.0645692548678,2006,2392.787382023935,
2006-05-31,29.59756625304938,34.08373299809813,2006,2426.871115022033,
2006-06-30,45.52837987934018,3.640240390792148,2006,2430.5113554128257,
2006-07-31,51.89181588613404,3.804916063337835,2006,2434.316271476164,
2006-08-31,52.811581726354454,0.04061068742329837,2006,2434.356882163587,
2006-09-30,41.01517466427436,1.473690812369339,2006,2435.8305729759563,
2006-10-31,21.611977848586307,13.905534442144495,2007,13.905534442144495,
2006-11-30,23.91225060576293,233.76343472313332,2007,247.66896916527787,
2006-12-31,20.320833184714612,206.4756343346516,2007,454.14460349992936,
2007-01-31,25.694456737386275,70.59838046008393,2007,524.7429839600134,
2007-02-28,33.9850832260359,380.99110086455596,2007,905.7340848245692,
2007-03-31,26.910248682080564,77.31446576300469,2007,983.048550587574,
2007-04-30,29.91683915330541,105.42280322358809,2007,1088.4713538111619,
2007-05-31,36.12461267276493,47.823477184499474,2007,1136.2948309956614,
2007-06-30,59.63146617692073,15.464183224976516,2007,1151.7590142206382,
2007-07-31,48.58731251913069,0.05725190839694656,2007,1151.816266129035,
2007-08-31,47.55668426691153,8.439691104961714,2007,1160.2559572339967,
2007-09-30,41.498688598059424,45.396943769382155,2007,1205.6529010033792,
2007-10-31,24.870470952890223,113.01424349719329,2008,113.01424349719329,
2007-11-30,21.92197703713883,43.332603454589844,2008,156.34684695178316,
2007-12-31,23.42774226348309,187.2857970609009,2008,343.6326440126841,
2008-01-31,19.651154265835828,388.2765661341543,2008,731.9092101468384,
2008-02-29,36.5214643260436,249.32002077757855,2008,981.2292309244168,
2008-03-31,17.436636943061995,76.57174994199329,2008,1057.8009808664099,
2008-04-30,32.15414131847156,25.75120240131407,2008,1083.552183267724,
