,T
2000-10-31,14.607985873287817
2000-11-30,7.259078196347161
2000-12-31,10.322457191780927
2001-01-31,2.0711107231177266
2001-02-28,3.172812500000134
2001-03-31,10.592343750000111
2001-04-30,12.83514554794533
2001-05-31,23.748842037671352
2001-06-30,23.588303367580068
2001-07-31,25.448794948630223
2001-08-31,27.46021618150695
2001-09-30,24.06568921232889
2001-10-31,17.669215182648543
2001-11-30,8.661724101027517
2001-12-31,1.8678648069792985
2002-01-31,4.028999870496193
2002-02-28,8.742407962328855
2002-03-31,8.862851997572818
2002-04-30,15.98408533105038
2002-05-31,19.057739726027478
2002-06-30,24.626462970890543
2002-07-31,27.251948844178173
2002-08-31,26.57564319349325
2002-09-30,23.802143621575453
2002-10-31,16.3767651255709
2002-11-30,11.34710616438366
2002-12-31,2.1112189640412
2003-01-31,9.448191352739855
2003-02-28,7.3364939490299435
2003-03-31,10.774547303082272
2003-04-30,13.324396404109677
2003-05-31,21.08707191780826
2003-06-30,24.04648437500009
2003-07-31,26.7491823630138
2003-08-31,25.502785744863104
2003-09-30,24.86889233732893
2003-10-31,22.157592751141692
2003-11-30,7.014570322699001
2003-12-31,0.897112472559968
2004-01-31,4.112424015411079
2004-02-29,3.0708272688357283
2004-03-31,14.307636986301475
2004-04-30,17.111566780822045
2004-05-31,17.81337756849325
2004-06-30,23.963400042808303
2004-07-31,27.292102953767255
2004-08-31,26.86278788527403
2004-09-30,23.683483518835715
2004-10-31,13.294934717465878
2004-11-30,7.121533961187367
2004-12-31,8.990306792237561
2005-01-31,3.615982448630291
2005-02-28,3.9828296676924424
2005-03-31,6.944020761986394
2005-04-30,10.007897036127986
2005-05-31,17.52810680650697
2005-06-30,21.423607662671373
2005-07-31,27.63090218321929
2005-08-31,26.034492722602863
2005-09-30,19.127735445205587
2005-10-31,16.359888698630243
2005-11-30,12.045229023972695
2005-12-31,5.971110873287785
2006-01-31,5.8970226883562304
2006-02-28,7.910398116438444
2006-03-31,3.206113648155167
2006-04-30,12.594780251141685
2006-05-31,19.73951091609598
2006-06-30,24.879172731164488
2006-07-31,26.955043878424817
2006-08-31,25.98440710616444
2006-09-30,20.79238869863019
2006-10-31,16.156582477169025
2006-11-30,11.085343535958998
2006-12-31,6.023364726027523
2007-01-31,7.372112585616549
2007-02-28,5.298326198630207
2007-03-31,15.206555008561736
2007-04-30,14.691862157534388
2007-05-31,20.66467251712345
2007-06-30,24.99189105308227
2007-07-31,27.888303724315165
2007-08-31,27.040936429794613
2007-09-30,20.312592037671322
2007-10-31,17.843857020548057
2007-11-30,14.008348672945374
2007-12-31,7.4328317636987435
2008-01-31,4.6885252568494025
2008-02-29,5.358342220194913
2008-03-31,9.192848886986383
2008-04-30,15.959244434931577
2008-05-31,20.078936929223858
2008-06-30,24.770318921233013
2008-07-31,26.848633347602856
2008-08-31,27.415949272260377
2008-09-30,24.00743899828774
2008-10-31,16.823805650685017
2008-11-30,14.14460188356179
2008-12-31,5.981249914529599
2009-01-31,9.247634845890502
2009-02-28,3.1359950361774054
2009-03-31,9.040765196917903
2009-04-30,15.787202482876808
2009-05-31,21.613631207191872
2009-06-30,23.131077569050547
2009-07-31,27.302177868150807
2009-08-31,26.365910744863072
2009-09-30,23.544824486301422
2009-10-31,15.45619577625581
2009-11-30,12.449677868150786
2009-12-31,3.6565764231581284
2010-01-31,2.7835605736302114
2010-02-28,3.9570280546688537
2010-03-31,6.403505993150759
2010-04-30,12.055392774710697
2010-05-31,16.028104666095942
2010-06-30,22.539142765411043
2010-07-31,26.591630993150773
2010-08-31,25.91964362157546
2010-09-30,23.276804366438512
2010-10-31,15.516795091324298
2010-11-30,9.964074272260348
2010-12-31,3.174487371575424
2011-01-31,6.068242722602861
2011-02-28,4.164971966973212
2011-03-31,7.655651233965273
2011-04-30,7.874825913242148
2011-05-31,15.248412885274092
2011-06-30,20.63923266267136
2011-07-31,24.56544199486308
2011-08-31,24.976068065068603
2011-09-30,22.205592893835785
2011-10-31,17.074527682648522
2011-11-30,9.721407320205515
2011-12-31,8.045779109589148
2012-01-31,9.013406464041225
2012-02-29,8.708645119863093
2012-03-31,6.881756563927013
2012-04-30,17.259942208904192
2012-05-31,20.534960045662217
2012-06-30,23.519592251712425
2012-07-31,26.30743150684941
2012-08-31,27.768852739726128
2012-09-30,25.333737157534358
2012-10-31,17.471489726027528
2012-11-30,13.011706621004635
2012-12-31,4.621965967465883
2013-01-31,6.060244006849416
2013-02-28,8.6496832191782
2013-03-31,12.532735445205617
2013-04-30,17.18315924657543
2013-05-31,19.96772688356174
2013-06-30,25.299088184931577
2013-07-31,28.214454195205576
2013-08-31,26.204558005137017
2013-09-30,21.92680008561655
2013-10-31,17.650009988584543
2013-11-30,12.000856164383663
2013-12-31,9.54311964897272
2014-01-31,11.491035958904206
2014-02-28,8.443623002283175
2014-03-31,12.55704944349327
2014-04-30,16.225219748858592
2014-05-31,20.475059931506962
2014-06-30,26.44186857876724
2014-07-31,27.642627354452145
2014-08-31,26.593685787671404
2014-09-30,25.27912243150695
2014-10-31,19.675112728310637
2014-11-30,13.500544734589141
2014-12-31,4.417098672945315
2015-01-31,10.262242080479552
2015-02-28,11.66820205479462
2015-03-31,16.205185145548057
2015-04-30,17.286324200913384
2015-05-31,18.972138984018386
2015-06-30,26.261202910959014
2015-07-31,26.711088398972663
2015-08-31,26.46026327054807
2015-09-30,24.273197773972697
2015-10-31,20.122464326484135
2015-11-30,9.742736515411082
2015-12-31,1.820825128424758
2016-01-31,1.5814826775566075
2016-02-29,13.15286244292247
