DateTime,B200
2003-03-05 00:00:00,-0.0297039058059453
2003-03-12 00:00:00,-0.4155240654945373
2003-03-19 00:00:00,-0.5509731769561768
2003-03-26 00:00:00,-0.9054886102676392
2003-04-02 00:00:00,-0.8730239272117615
2003-04-09 00:00:00,-1.245761156082153
2003-04-16 00:00:00,-1.1737886667251587
2003-04-23 00:00:00,-0.9872748255729676
2003-04-30 00:00:00,-0.852702796459198
2003-05-07 00:00:00,-0.4429498016834259
2003-05-14 00:00:00,-0.9033650159835817
2003-05-21 00:00:00,-1.0347394943237305
2003-05-28 00:00:00,-0.6838886141777039
2003-06-04 00:00:00,-0.6193316578865051
2003-06-11 00:00:00,-0.4657277166843414
2003-06-18 00:00:00,-0.3563224375247955
2003-06-25 00:00:00,-0.5748845934867859
2003-07-02 00:00:00,-0.639030933380127
2003-07-09 00:00:00,-0.604157567024231
2003-07-16 00:00:00,-0.4186808168888092
2003-07-23 00:00:00,-0.6644521355628967
2003-07-30 00:00:00,-1.2206099033355713
2003-08-06 00:00:00,-1.4692567586898804
2003-08-13 00:00:00,-1.6708482503890991
2003-08-20 00:00:00,-1.3675726652145386
2003-08-27 00:00:00,-1.1074694395065308
2003-09-03 00:00:00,-1.209526300430298
2003-09-10 00:00:00,-0.8261260390281677
2003-09-17 00:00:00,-0.5496965050697327
2003-09-24 00:00:00,-0.3162497580051422
2003-10-01 00:00:00,0.3106857240200043
2003-10-08 00:00:00,0.3899696171283722
2003-10-16 00:00:00,0.7106289863586426
2003-10-23 00:00:00,0.8614686131477356
2003-10-30 00:00:00,1.208244800567627
2003-11-06 00:00:00,1.2141627073287964
2003-11-13 00:00:00,1.1245163679122925
2003-11-20 00:00:00,1.1755114793777466
2003-11-27 00:00:00,1.248113036155701
2003-12-04 00:00:00,1.326230525970459
2003-12-11 00:00:00,1.209949612617493
2003-12-18 00:00:00,1.337692379951477
2003-12-25 00:00:00,0.9513327479362488
2004-01-01 00:00:00,0.5698047280311584
2004-01-08 00:00:00,0.2875989377498626
2004-01-15 00:00:00,0.2215956896543502
2004-01-22 00:00:00,-0.2195897698402404
2004-01-29 00:00:00,-0.289503276348114
2004-02-05 00:00:00,-0.7807105183601379
2004-02-12 00:00:00,-1.1348689794540403
2004-02-19 00:00:00,-1.4463874101638794
2004-02-26 00:00:00,-1.4354254007339478
2004-03-04 00:00:00,-1.320215106010437
2004-03-11 00:00:00,-1.2652651071548462
2004-03-18 00:00:00,-1.2956470251083374
2004-03-25 00:00:00,-1.05316424369812
2004-04-01 00:00:00,-0.9929574131965636
2004-04-08 00:00:00,-0.8775795102119446
2004-04-15 00:00:00,-0.6094721555709839
2004-04-22 00:00:00,-0.8983621597290039
2004-04-29 00:00:00,-0.7849065065383911
2004-05-06 00:00:00,-0.5695459246635437
2004-05-13 00:00:00,-0.6441993117332458
2004-05-20 00:00:00,-0.8772627711296082
2004-05-27 00:00:00,-0.7472360730171204
2004-06-03 00:00:00,-0.4694555699825287
2004-06-10 00:00:00,-0.1387377828359604
2004-06-17 00:00:00,-0.1709392666816711
