wy,10265150,B204,P300,P301,P303,P304,D102,B200,B201,B203,10343500,T003,10336676,10336645,10308783,11383500,10336660,11266500,11264500,11204100,11189500,11203580,10336780
2004,8.141322314049587,11.05625,8.900000000000002,10.173913043478262,11.423076923076923,11.192307692307692,9.557692307692308,10.54421768707483,12.333333333333334,11.692307692307692,14.13470919324578,10.925,17.91717523975589,10.749999999999995,14.002962962962963,4.663185913185912,11.235566642908058,15.3660734066908,15.974316193943075,1.647291666666667,5.274845550060958,6.402666666666667,12.1005834601725
2005,11.806060606060603,20.199152542372882,16.950892857142858,17.40625,18.265625,18.967741935483872,14.733333333333333,19.123809523809523,20.34,22.05263157894737,15.841124661246608,19.898809523809522,18.496088193456618,16.707551287647316,15.37861635220126,5.962325962325964,14.599420289855074,20.609131258903442,20.806226407435968,1.2214209401709402,7.654089828063472,4.582051282051283,13.937338022954458
2006,13.054008941877786,21.813725490196077,12.616071428571425,14.0,13.787878787878787,13.774193548387096,12.25925925925926,21.185714285714283,22.097560975609756,23.42,13.75,20.472868217054266,16.955152955152954,13.426623897353648,16.183999999999997,7.945510026155188,14.226428920371273,21.750203086921204,22.682728146013453,3.7447916666666665,9.211748853423659,8.197878787878789,14.225493684397794
2007,6.9853803339517615,9.142857142857142,7.238095238095238,8.333333333333334,8.108695652173912,8.130434782608695,7.805555555555555,9.125850340136054,10.025,10.421052631578947,15.014846235418874,9.243243243243242,15.814054054054054,11.401193633952253,7.409259259259258,6.53880803880804,13.782608695652172,13.046990111767837,14.601991092481004,2.6677609427609426,5.018318731445949,6.654949494949495,9.461821410451549
2008,14.922305986696228,22.04268292682927,15.133333333333331,16.857142857142858,16.816666666666666,17.25,13.576923076923077,21.903571428571425,24.606060606060606,26.0,16.72860310421286,21.00877192982456,17.023095823095822,16.220062695924764,10.811666666666667,11.484499973861675,17.268394648829428,21.834944213266134,24.261151484776352,4.725534188034188,14.045221602748212,10.635862068965517,14.632031477703295
2009,8.813795093795093,16.117924528301888,14.83982683982684,15.558823529411764,17.0,15.818181818181818,13.533333333333333,16.35989010989011,18.47826086956522,17.74,14.299752562743018,17.163265306122447,14.550079491255959,14.091246684350132,8.844444444444445,12.971262706556823,14.32706035042181,15.48627838801964,15.94372398334934,4.022957516339869,6.6252892307014255,8.225945945945947,11.689871996406914
2010,11.742555282555283,21.63095238095238,14.886904761904765,15.73469387755102,16.846938775510203,16.541666666666668,14.283783783783784,22.138173302107727,23.1864406779661,22.55,12.821594957522608,23.107142857142854,13.426126126126125,13.429029671210905,8.930208333333333,10.616658476658477,13.393803098450773,19.314876793934467,19.952948348481485,4.290826873385012,10.796497156051139,9.366241134751775,12.083633741888972
2011,16.25592137592138,26.899305555555557,20.142857142857146,21.64,21.735294117647058,23.041666666666668,18.837209302325583,26.60515873015874,28.893939393939394,26.958333333333332,20.79081779053085,28.819672131147545,22.14816020840117,22.77674624226348,15.8,15.584339279991458,22.400966183574877,28.162418239482324,28.575882330925555,4.957638888888889,13.343438139014628,11.16074074074074,18.52286070094289
2012,9.307796610169493,21.49056603773585,12.207142857142857,14.657894736842104,14.621621621621621,15.277777777777779,11.844827586206897,21.409340659340657,23.065217391304348,23.714285714285715,15.277642276422764,21.050724637681157,14.387532693984308,14.199233716475094,8.040310077519381,7.272727272727273,14.08064516129032,17.798746038307844,19.045047777946305,4.001424501424501,9.06900296864818,8.793333333333333,10.541792430926398
2013,9.731159874608148,12.071428571428571,11.488721804511277,12.868421052631579,12.635135135135135,12.078947368421053,10.136363636363637,11.88988095238095,12.431818181818182,12.1875,9.931108258451008,11.780303030303031,12.639494333042718,12.576127320954908,8.696855345911949,8.213244957431007,12.052700922266139,14.190510860332486,15.809252467033447,2.6347222222222224,4.650565655213304,5.4419047619047625,8.96162209175908
2014,10.358464646464647,10.422413793103448,4.761904761904762,6.6,6.7272727272727275,6.8,4.111111111111111,9.690476190476188,10.423076923076923,10.892857142857142,13.156794425087107,8.068965517241379,17.665950590762623,14.477832512315272,15.558518518518518,3.990513240513241,17.788159111933393,13.480510739163874,14.811322323209934,2.014942528735632,6.167025109245079,4.568735632183908,15.144564266977556
2015,8.371623376623377,7.239130434782608,3.3636363636363638,4.1,3.8181818181818183,4.0,2.2222222222222223,6.011904761904762,5.9411764705882355,7.526315789473684,11.588617886178863,5.809523809523808,16.253132832080198,14.105854049719325,10.98074074074074,2.951561951561952,15.327603640040447,9.789025921276124,11.702346644709754,0.8232142857142858,3.9745613399946906,2.348148148148148,10.80178082191781
2016,9.08474108170311,12.073770491803279,7.532142857142858,8.513513513513514,7.975,8.8,8.112903225806452,11.14516129032258,11.37037037037037,12.524590163934427,19.340283241542092,11.402298850574711,22.68009868421053,22.66629588431591,15.61967213114754,10.389705576146255,22.700138026224984,15.839999572448585,16.67023202541935,2.622469135802469,6.201406487582362,5.418503401360545,16.72170706006323
2017,18.772612197928655,26.278846153846153,15.220408163265308,16.027027027027028,16.5,15.942857142857143,14.016666666666667,25.401098901098898,25.416666666666668,26.641509433962263,21.54769990737882,21.899371069182386,25.268359853121172,25.09411764705882,16.97351598173516,8.893805131510055,26.012020460358052,24.707853037049226,27.225868791320565,4.149791666666666,9.014864463358794,10.247619047619045,21.698231920993944
2018,9.771564828614007,11.755952380952381,11.39795918367347,13.576923076923077,13.365384615384615,12.961538461538462,10.604166666666666,11.537414965986397,12.756756756756756,12.666666666666666,11.773358348968104,11.178861788617885,16.813397129186605,14.966727162734422,12.175757575757576,5.947174447174448,16.34782608695652,17.53313640056125,19.294644572526416,2.599521072796935,4.145867165923643,5.411313131313131,12.71015438138726
2019,13.212957746478876,20.29794520547945,16.301886792452834,18.11111111111111,16.982142857142858,17.692307692307693,15.261363636363637,20.246938775510205,21.161290322580644,20.940298507462686,19.901436685599737,20.74871794871795,24.690704032809307,22.422892720306507,12.384684684684682,8.028001355587564,23.92840579710146,18.187149433290774,18.861619388215704,4.769187242798354,9.003427628922662,10.677471264367815,16.22208669544004
2020,6.849151515151516,17.364035087719298,20.577639751552795,21.5531914893617,22.119565217391305,23.547619047619047,19.134146341463413,16.19854721549637,16.563636363636363,18.0,12.971618625277161,15.981481481481481,13.645638067772172,12.332238642583476,8.473684210526315,5.63748244998245,12.60743541272842,9.713117158588323,9.744937300412804,4.818540051679586,7.834769386720728,8.607826086956523,8.479758740543854
2021,7.224178628389155,13.659090909090908,16.139285714285716,17.048780487804876,16.414634146341463,16.6,15.01388888888889,13.080200501253136,14.203703703703704,16.26086956521739,10.690923630547783,14.069182389937106,14.133276740237688,12.264367816091955,8.67261904761905,4.936527436527437,14.166041979010497,11.09474004874086,11.418332248768243,5.141039426523298,3.6010229000599,9.350833333333334,9.539088332546056
