wy,10265150,B204,P300,P301,P303,P304,D102,B200,B201,B203,10343500,T003,10336676,10336645,10308783,11383500,10336660,11266500,11264500,11204100,11189500,11203580,10336780
2004,49.334545454545456,96.5,0.0,0.0,0.0,0.0,0.0,119.42857142857144,167.0,188.0,611.0,240.0,666.027027027027,372.2758620689655,141.26666666666668,62.76904176904177,353.2173913043478,611.5653939886271,641.9221902017291,4.288888888888889,30.38114546376077,20.586666666666662,374.2328767123288
2005,391.8109090909091,898.0,33.714285714285715,8.0,62.5,81.0,2.0,901.8571428571428,839.0,1088.0,833.8536585365854,969.0,1092.2972972972973,1034.2068965517242,495.4,130.45945945945945,829.2826086956521,1116.663688058489,1144.0734870317003,20.780555555555555,188.91991890522047,97.46666666666668,691.8082191780821
2006,418.4727272727273,411.5,146.42857142857142,155.0,175.0,159.0,97.0,392.57142857142856,362.0,439.0,670.7317073170732,323.6666666666667,1116.0,829.7241379310345,369.2,251.57493857493856,892.8695652173913,815.8627132412672,868.8242074927954,42.39722222222223,141.30866700456158,131.29333333333332,820.2534246575342
2007,101.38909090909092,0.25,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,353.0,0.0,289.1891891891892,138.31034482758622,0.0,3.472972972972973,225.19565217391303,159.54833468724615,193.04466858789624,1.3777777777777778,2.6624429802331475,6.613333333333333,155.18493150684932
2008,339.47636363636366,396.75,0.0,0.0,0.0,0.0,0.0,324.85714285714283,177.0,409.0,695.7560975609756,130.33333333333334,652.6216216216217,671.0,109.46666666666668,262.5012285012285,648.0434782608696,589.7839155158408,594.6325648414986,5.625,32.33248859604663,27.0,491.404109589041
2009,233.76727272727277,372.75,0.0,0.0,0.0,0.0,0.0,356.85714285714283,321.0,384.0,619.2439024390244,186.66666666666663,601.2702702702703,563.8620689655172,76.26666666666667,193.9066339066339,585.195652173913,557.770105605199,609.2953890489914,8.841666666666667,29.224024328433856,38.13333333333333,406.9178082191781
2010,409.7709090909091,866.75,21.571428571428573,22.0,22.5,23.0,18.5,835.4285714285714,769.0,838.0,698.6585365853658,444.3333333333333,703.4054054054054,679.0,140.2,397.2199017199017,674.7608695652174,845.9626320064988,925.9221902017292,23.9,121.73441459706032,97.81333333333332,456.2260273972603
2011,660.2763636363636,1129.0,270.42857142857144,268.0,307.0,279.0,187.5,1093.7142857142858,1045.0,1111.0,1285.3902439024391,787.0,1330.6486486486488,1238.2758620689656,294.6,619.2395577395578,1291.195652173913,1308.8081300813008,1405.35734870317,47.71111111111111,190.4024328433857,181.61333333333332,924.13698630137
2012,133.82909090909092,261.75,9.857142857142858,9.0,12.0,10.0,6.0,245.57142857142856,221.0,270.0,438.0975609756098,154.33333333333334,431.2432432432432,513.3793103448276,20.066666666666663,207.23341523341523,443.3695652173913,304.7113821138211,341.3904899135447,8.794444444444444,11.50886974151039,37.333333333333336,236.2328767123288
2013,189.9709090909091,86.5,0.0,0.0,0.0,0.0,0.0,62.71428571428572,23.0,70.0,168.78048780487805,0.0,298.7027027027027,385.6551724137931,17.733333333333334,46.12776412776413,303.5869565217391,389.1601626016261,491.4092219020173,1.8722222222222225,18.611251900658896,8.986666666666666,230.7328767123288
2014,96.10909090909092,42.0,0.0,0.0,0.0,0.0,0.0,41.42857142857143,40.0,42.0,133.7560975609756,40.0,328.7368421052632,192.0,112.66666666666669,36.66707616707617,295.0217391304348,219.93419983753049,277.9149855907781,6.911111111111111,30.531677648251392,16.56,243.12328767123287
2015,31.312727272727276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.219512195121951,0.0,9.81578947368421,3.103448275862069,0.0,0.0,15.826086956521738,46.60032493907392,77.18587896253602,0.0,1.7435377597567157,0.0,29.253424657534246
2016,256.4509090909091,81.0,0.2857142857142857,1.0,0.5,0.0,0.0,55.85714285714285,9.0,50.0,470.5609756097561,19.33333333333333,774.0526315789474,784.3793103448276,155.66666666666666,101.7002457002457,759.5434782608696,511.0081234768481,581.5259365994236,2.191666666666667,75.75418144956919,10.266666666666667,511.8561643835616
2017,478.1818181818182,751.5,0.0,0.0,0.0,0.0,0.0,679.0,483.0,777.0,1053.0,466.0,1534.7631578947369,1436.1379310344828,455.2,168.13390663390663,1559.7826086956522,1244.731112916328,1493.1325648414986,21.53611111111111,168.39178915357323,97.58666666666667,1144.7671232876712
2018,149.50545454545454,207.25,1.0,0.0,3.5,0.0,0.0,185.42857142857144,104.0,234.0,389.6829268292683,110.33333333333331,449.9736842105263,400.3103448275862,150.46666666666667,32.851351351351354,432.9782608695652,472.29000812347687,592.6959654178675,9.622222222222222,45.35073492143943,35.93333333333333,336.09589041095893
2019,601.0,1072.0,211.8571428571429,204.0,268.0,298.0,79.5,991.1428571428572,796.0,997.0,1150.9756097560976,806.6666666666666,1456.7105263157894,1248.5862068965516,572.7333333333333,245.32309582309583,1405.2826086956522,1094.7059301380991,1097.1902017291063,103.27777777777776,328.8454130765332,314.3333333333333,846.0068493150685
2020,127.08,253.0,211.57142857142856,224.0,217.5,215.0,163.5,224.14285714285717,169.0,181.0,387.3658536585366,156.33333333333334,624.7105263157895,491.13793103448273,138.4,78.11793611793611,509.5,321.92932575142163,323.85446685878964,32.40555555555556,69.28129751647238,79.97333333333333,266.21232876712327
2021,145.79636363636362,297.25,137.57142857142858,231.0,152.0,158.0,52.5,290.7142857142857,262.0,269.0,369.2439024390244,317.6666666666667,601.6842105263158,457.1724137931034,185.66666666666663,70.36855036855037,522.3913043478261,375.52965069049554,382.8991354466859,18.086111111111112,18.188038520020275,51.25333333333333,290.0753424657534
