date,swe,sitenum
2003-10-20,0.0,B200
2003-10-21,0.0,B201
2003-10-21,0.0,B203
2003-10-21,0.0,T003
2003-10-21,0.0,B204
2003-10-21,0.0,P300
2003-10-21,0.0,P301
2003-10-21,0.0,P303
2003-10-21,0.0,P304
2003-10-21,0.0,D102
2003-10-21,0.0,B200
2003-10-22,0.0,B201
2003-10-22,0.0,B203
2003-10-22,0.0,T003
2003-10-22,0.0,B204
2003-10-22,0.0,P300
2003-10-22,0.0,P301
2003-10-22,0.0,P303
2003-10-22,0.0,P304
2003-10-22,0.0,D102
2003-10-22,0.0,B200
2003-10-23,0.0,B201
2003-10-23,0.0,B203
2003-10-23,0.0,T003
2003-10-23,0.0,B204
2003-10-23,0.0,P300
2003-10-23,0.0,P301
2003-10-23,0.0,P303
2003-10-23,0.0,P304
2003-10-23,0.0,D102
2003-10-23,0.0,B200
2003-10-24,0.0,B201
2003-10-24,0.0,B203
2003-10-24,0.0,T003
2003-10-24,0.0,B204
2003-10-24,0.0,P300
2003-10-24,0.0,P301
2003-10-24,0.0,P303
2003-10-24,0.0,P304
2003-10-24,0.0,D102
2003-10-24,0.0,B200
2003-10-25,0.0,B201
2003-10-25,0.0,B203
2003-10-25,0.0,T003
2003-10-25,0.0,B204
2003-10-25,0.0,P300
2003-10-25,0.0,P301
2003-10-25,0.0,P303
2003-10-25,0.0,P304
2003-10-25,0.0,D102
2003-10-25,0.0,B200
2003-10-26,0.0,B201
2003-10-26,0.0,B203
2003-10-26,0.0,T003
2003-10-26,0.0,B204
2003-10-26,0.0,P300
2003-10-26,0.0,P301
2003-10-26,0.0,P303
2003-10-26,0.0,P304
2003-10-26,0.0,D102
2003-10-26,0.0,B200
2003-10-27,0.0,B201
2003-10-27,0.0,B203
2003-10-27,0.0,T003
2003-10-27,0.0,B204
2003-10-27,0.0,P300
2003-10-27,0.0,P301
2003-10-27,0.0,P303
2003-10-27,0.0,P304
2003-10-27,0.0,D102
2003-10-27,0.0,B200
2003-10-28,0.0,B201
2003-10-28,0.0,B203
2003-10-28,0.0,T003
2003-10-28,0.0,B204
2003-10-28,0.0,P300
2003-10-28,0.0,P301
2003-10-28,0.0,P303
2003-10-28,0.0,P304
2003-10-28,0.0,D102
2003-10-28,0.0,B200
2003-10-29,0.0,B201
2003-10-29,0.0,B203
2003-10-29,0.0,T003
2003-10-29,0.0,B204
2003-10-29,0.0,P300
2003-10-29,0.0,P301
2003-10-29,0.0,P303
2003-10-29,0.0,P304
2003-10-29,0.0,D102
2003-10-29,0.0,B200
2003-10-31,0.0,B201
2003-10-31,0.0,B203
2003-10-31,0.0,T003
2003-10-31,0.0,B204
2003-10-31,0.0,P300
2003-10-31,0.0,P301
2003-10-31,0.0,P303
2003-10-31,0.0,P304
2003-10-31,0.0,D102
2003-10-31,0.0,B200
2003-11-01,0.0,B201
2003-11-01,0.0,B203
2003-11-01,0.0,T003
2003-11-01,0.0,B204
2003-11-01,0.0,P300
2003-11-01,0.0,P301
2003-11-01,0.0,P303
2003-11-01,0.0,P304
2003-11-01,0.0,D102
2003-11-01,0.0,B200
2003-11-02,0.0,B201
2003-11-02,0.0,B203
2003-11-02,0.0,T003
2003-11-02,0.0,B204
2003-11-02,0.0,P300
2003-11-02,0.0,P301
2003-11-02,0.0,P303
2003-11-02,0.0,P304
2003-11-02,0.0,D102
2003-11-02,0.0,B200
2003-11-03,0.0,B201
2003-11-03,0.0,B203
2003-11-03,0.0,T003
2003-11-03,0.0,B204
2003-11-03,0.0,P300
2003-11-03,0.0,P301
2003-11-03,0.0,P303
2003-11-03,0.0,P304
2003-11-03,0.0,D102
2003-11-03,0.0,B200
2003-11-04,6.0,B201
2003-11-04,6.0,B203
2003-11-04,5.333333333333333,T003
2003-11-04,6.0,B204
2003-11-04,5.0,P300
2003-11-04,5.0,P301
2003-11-04,5.0,P303
2003-11-04,5.0,P304
2003-11-04,5.0,D102
2003-11-04,6.0,B200
2003-11-05,6.0,B201
2003-11-05,6.0,B203
2003-11-05,5.0,T003
2003-11-05,5.5,B204
2003-11-05,4.142857142857143,P300
2003-11-05,5.0,P301
2003-11-05,4.5,P303
2003-11-05,5.0,P304
2003-11-05,3.5,D102
2003-11-05,5.571428571428571,B200
2003-11-06,6.0,B201
2003-11-06,6.0,B203
2003-11-06,3.3333333333333335,T003
2003-11-06,5.0,B204
2003-11-06,1.5714285714285714,P300
2003-11-06,4.0,P301
2003-11-06,1.5,P303
2003-11-06,3.0,P304
2003-11-06,1.0,D102
2003-11-06,5.285714285714286,B200
2003-11-07,5.0,B201
2003-11-07,5.0,B203
2003-11-07,1.3333333333333333,T003
2003-11-07,5.0,B204
2003-11-07,0.14285714285714285,P300
2003-11-07,1.0,P301
2003-11-07,0.0,P303
2003-11-07,0.0,P304
2003-11-07,0.0,D102
2003-11-07,5.0,B200
2003-11-08,5.0,B201
2003-11-08,5.0,B203
2003-11-08,0.0,T003
2003-11-08,4.5,B204
2003-11-08,0.0,P300
2003-11-08,0.0,P301
2003-11-08,0.0,P303
2003-11-08,0.0,P304
2003-11-08,0.0,D102
2003-11-08,4.571428571428571,B200
2003-11-09,5.0,B201
2003-11-09,6.0,B203
2003-11-09,1.0,T003
2003-11-09,5.75,B204
2003-11-09,0.0,P300
2003-11-09,0.0,P301
2003-11-09,0.0,P303
2003-11-09,0.0,P304
2003-11-09,0.0,D102
2003-11-09,5.571428571428571,B200
2003-11-10,13.0,B201
2003-11-10,16.0,B203
2003-11-10,6.333333333333333,T003
2003-11-10,15.0,B204
2003-11-10,0.0,P300
2003-11-10,0.0,P301
2003-11-10,0.0,P303
2003-11-10,0.0,P304
2003-11-10,0.0,D102
2003-11-10,14.571428571428571,B200
2003-11-11,13.0,B201
2003-11-11,16.0,B203
2003-11-11,5.666666666666667,T003
2003-11-11,14.75,B204
2003-11-11,0.0,P300
2003-11-11,0.0,P301
2003-11-11,0.0,P303
2003-11-11,0.0,P304
2003-11-11,0.0,D102
2003-11-11,14.285714285714286,B200
2003-11-12,12.0,B201
2003-11-12,16.0,B203
2003-11-12,4.0,T003
2003-11-12,14.5,B204
2003-11-12,0.0,P300
2003-11-12,0.0,P301
2003-11-12,0.0,P303
2003-11-12,0.0,P304
2003-11-12,0.0,D102
2003-11-12,13.857142857142858,B200
2003-11-13,12.0,B201
2003-11-13,16.0,B203
2003-11-13,4.333333333333333,T003
2003-11-13,14.25,B204
2003-11-13,0.0,P300
2003-11-13,0.0,P301
2003-11-13,0.0,P303
2003-11-13,0.0,P304
2003-11-13,0.0,D102
2003-11-13,13.571428571428571,B200
2003-11-14,11.0,B201
2003-11-14,16.0,B203
2003-11-14,4.333333333333333,T003
2003-11-14,14.25,B204
2003-11-14,0.0,P300
2003-11-14,0.0,P301
2003-11-14,0.0,P303
2003-11-14,0.0,P304
2003-11-14,0.0,D102
2003-11-14,13.428571428571429,B200
2003-11-15,12.0,B201
2003-11-15,16.0,B203
2003-11-15,4.666666666666667,T003
2003-11-15,14.75,B204
2003-11-15,0.0,P300
2003-11-15,0.0,P301
2003-11-15,0.0,P303
2003-11-15,0.0,P304
2003-11-15,0.0,D102
2003-11-15,14.0,B200
2003-11-16,16.0,B201
2003-11-16,20.0,B203
2003-11-16,8.333333333333334,T003
2003-11-16,18.75,B204
2003-11-16,2.0,P300
2003-11-16,3.0,P301
2003-11-16,2.0,P303
2003-11-16,3.0,P304
2003-11-16,1.5,D102
2003-11-16,18.0,B200
2003-11-17,16.0,B201
2003-11-17,20.0,B203
2003-11-17,8.333333333333334,T003
2003-11-17,18.5,B204
2003-11-17,1.1428571428571428,P300
2003-11-17,3.0,P301
2003-11-17,1.0,P303
2003-11-17,2.0,P304
2003-11-17,0.5,D102
2003-11-17,17.714285714285715,B200
2003-11-18,12.0,B201
2003-11-18,17.0,B203
2003-11-18,5.333333333333333,T003
2003-11-18,14.75,B204
2003-11-18,0.0,P300
2003-11-18,0.0,P301
2003-11-18,0.0,P303
2003-11-18,0.0,P304
2003-11-18,0.0,D102
2003-11-18,13.857142857142858,B200
2003-11-19,5.0,B201
2003-11-19,9.0,B203
2003-11-19,0.3333333333333333,T003
2003-11-19,3.25,B204
2003-11-19,0.0,P300
2003-11-19,0.0,P301
2003-11-19,0.0,P303
2003-11-19,0.0,P304
2003-11-19,0.0,D102
2003-11-19,4.142857142857143,B200
2003-11-20,2.0,B201
2003-11-20,4.0,B203
2003-11-20,0.0,T003
2003-11-20,0.25,B204
2003-11-20,0.0,P300
2003-11-20,0.0,P301
2003-11-20,0.0,P303
2003-11-20,0.0,P304
2003-11-20,0.0,D102
2003-11-20,1.0,B200
2003-11-21,0.0,B201
2003-11-21,2.0,B203
2003-11-21,0.0,T003
2003-11-21,0.0,B204
2003-11-21,0.0,P300
2003-11-21,0.0,P301
2003-11-21,0.0,P303
2003-11-21,0.0,P304
2003-11-21,0.0,D102
2003-11-21,0.2857142857142857,B200
2003-11-22,0.0,B201
2003-11-22,2.0,B203
2003-11-22,0.0,T003
2003-11-22,0.0,B204
2003-11-22,0.0,P300
2003-11-22,0.0,P301
2003-11-22,0.0,P303
2003-11-22,0.0,P304
2003-11-22,0.0,D102
2003-11-22,0.2857142857142857,B200
2003-11-23,0.0,B201
2003-11-23,2.0,B203
2003-11-23,0.0,T003
2003-11-23,0.0,B204
2003-11-23,0.0,P300
2003-11-23,0.0,P301
2003-11-23,0.0,P303
2003-11-23,0.0,P304
2003-11-23,0.0,D102
2003-11-23,0.2857142857142857,B200
2003-11-24,0.0,B201
2003-11-24,1.0,B203
2003-11-24,0.0,T003
2003-11-24,0.0,B204
2003-11-24,0.0,P300
2003-11-24,0.0,P301
2003-11-24,0.0,P303
2003-11-24,0.0,P304
2003-11-24,0.0,D102
2003-11-24,0.14285714285714285,B200
2003-11-25,0.0,B201
2003-11-25,1.0,B203
