date,GRACE
2003-10-31,235.5571657346724
2003-11-30,230.94343188004564
2003-12-31,170.49970617498832
2004-01-31,121.37062414395376
2004-02-29,111.82884399476667
2004-03-31,78.35710393839184
2004-04-30,90.96528436445527
2004-05-31,128.30403624021824
2004-06-30,183.78174427223598
2004-07-31,217.47278140095628
2004-08-31,241.31835901780389
2004-09-30,272.63472123092225
2004-10-31,264.60603947164213
2004-11-30,215.698544029765
2004-12-31,191.10596552984862
2005-01-31,71.62298738977717
2005-02-28,22.305711369152505
2005-03-31,1.3209742254364016
2005-04-30,3.1937425198412654
2005-05-31,17.088685576377003
2005-06-30,50.89533280869807
2005-07-31,109.25859733937423
2005-08-31,149.23431725167703
2005-09-30,182.2638718255767
2005-10-31,211.31282269244466
2005-11-30,196.35358524608435
2005-12-31,142.1675165309296
2006-01-31,25.91177081796232
2006-02-28,32.1245553205012
2006-03-31,1.17766923655185
2006-04-30,0.0
2006-05-31,0.0
2006-06-30,12.3878656123766
2006-07-31,97.24868508312323
2006-08-31,148.76930705756155
2006-09-30,191.47893517881255
2006-10-31,178.61729606563287
2006-11-30,192.08927687296992
2006-12-31,140.14104071897503
2007-01-31,119.17166110081885
2007-02-28,113.6061968876067
2007-03-31,89.94580462817882
2007-04-30,81.71558013617239
2007-05-31,136.9232649743083
2007-06-30,161.15544447871116
2007-07-31,205.7429691681476
2007-08-31,218.89178560347105
2007-09-30,235.42378325943673
2007-10-31,238.4825019993529
2007-11-30,239.60477803513598
2007-12-31,229.0002476298373
2008-01-31,165.55639393998646
2008-02-29,85.11417937867245
2008-03-31,82.98358416976784
2008-04-30,108.5767433713396
2008-05-31,154.52705132999833
2008-06-30,205.67277708054422
2008-07-31,218.81549478731583
2008-08-31,243.76904328621947
2008-09-30,271.6224506438508
2008-10-31,283.961069070823
2008-11-30,269.5402899246002
2008-12-31,250.79593707030202
2009-01-31,219.44574727514842
2009-02-28,165.91256584267165
2009-03-31,150.153102572992
2009-04-30,153.82118679409524
2009-05-31,168.2339837370738
2009-06-30,181.90182340566471
2009-07-31,209.49980821333094
2009-08-31,258.20835672809926
2009-09-30,275.64786316755965
2009-10-31,297.46570874978556
2009-11-30,291.4722477132061
2009-12-31,237.67116629458926
2010-01-31,203.62710145909293
2010-02-28,131.3118600910097
2010-03-31,106.36994441309405
2010-04-30,99.42786956411632
2010-05-31,110.03168668766881
2010-06-30,144.0140686263485
2010-07-31,212.26980428618054
2010-08-31,237.9319795035887
2010-09-30,289.2379043916451
2010-10-31,273.9986873099117
2010-11-30,214.83907761095327
2010-12-31,147.937571086946
2011-01-31,
2011-02-28,90.84581691831835
2011-03-31,15.397774968431804
2011-04-30,0.0
2011-05-31,22.781547851066534
2011-06-30,
2011-07-31,111.64559025594173
2011-08-31,153.3900832783759
2011-09-30,179.40326196217353
2011-10-31,191.10836889095916
2011-11-30,199.78367574301535
2011-12-31,
2012-01-31,198.76667573252973
2012-02-29,155.38680675877032
2012-03-31,138.76649001910718
2012-04-30,100.84208114543937
2012-05-31,
2012-06-30,157.30973243909327
2012-07-31,197.38511432832095
2012-08-31,227.412526264224
2012-09-30,250.82337971762234
2012-10-31,
2012-11-30,276.6080084045528
2012-12-31,190.67571689632894
2013-01-31,129.71868789107384
2013-02-28,137.83004837812405
2013-03-31,
2013-04-30,169.89782030900028
2013-05-31,186.31418885358863
2013-06-30,223.07376324710748
2013-07-31,265.5301058553226
2013-08-31,
2013-09-30,
2013-10-31,298.3843650591632
2013-11-30,318.0191277184165
2013-12-31,287.03845219705465
2014-01-31,282.1785955957194
2014-02-28,
2014-03-31,242.34769512665213
2014-04-30,245.3442350234905
2014-05-31,250.83431843621213
2014-06-30,286.2496971974424
2014-07-31,
2014-08-31,366.3734711535469
2014-09-30,365.6670584370984
2014-10-31,370.51965133955036
2014-11-30,361.7493209777965
2014-12-31,
2015-01-31,274.8217843896996
2015-02-28,260.6821274063744
2015-03-31,263.0529940637215
2015-04-30,259.17485320013145
2015-05-31,
2015-06-30,
2015-07-31,367.9648585985044
2015-08-31,386.37841382899177
2015-09-30,420.9971669302132
2015-10-31,
2015-11-30,
2015-12-31,330.10969680273985
2016-01-31,278.0633774758395
2016-02-29,190.50582361390371
2016-03-31,172.35851008038154
2016-04-30,
2016-05-31,232.7358296110293
2016-06-30,274.26316397216954
2016-07-31,317.1569705291554
2016-08-31,351.83188275894577
2016-09-30,
2016-10-31,
2016-11-30,323.2286805945194
2016-12-31,231.59371158941838
2017-01-31,164.74631724716207
2017-02-28,
2017-03-31,89.65229999798106
2017-04-30,73.09155414559021
2017-05-31,89.58899898658984
2017-06-30,149.67088078011471
2017-07-31,
2017-08-31,
2017-09-30,
2017-10-31,
2017-11-30,
2017-12-31,
2018-01-31,
2018-02-28,
2018-03-31,
2018-04-30,
2018-05-31,
2018-06-30,225.30691887224714
2018-07-31,268.2177095136097
2018-08-31,
2018-09-30,
2018-10-31,346.75441504877085
2018-11-30,354.0493805027585
2018-12-31,300.97827561062775
2019-01-31,217.27950732081024
2019-02-28,136.1371542823211
2019-03-31,60.02389771982911
2019-04-30,93.07282783368373
2019-05-31,100.94719596118185
2019-06-30,115.21824794437313
2019-07-31,181.15039687153617
2019-08-31,227.7508310785882
2019-09-30,277.7487355216974
2019-10-31,320.01621477423043
2019-11-30,315.5782956715947
2019-12-31,212.72182508707073
2020-01-31,205.01357415395773
2020-02-29,200.5777244323912
2020-03-31,220.08280578651983
2020-04-30,193.44967609431274
2020-05-31,228.4380526999966
2020-06-30,243.16988159336802
2020-07-31,281.538871368084
