date,swe,sitenum
2003-11-01,0.0,11525500
2003-11-02,0.0,11270900
2003-11-02,0.0,11289650
2003-11-02,0.0,11319500
2003-11-02,0.0,11335000
2003-11-02,0.03943124048411654,11377100
2003-11-02,0.0,11525500
2003-11-03,0.0,11270900
2003-11-03,0.0,11289650
2003-11-03,0.0,11319500
2003-11-03,0.0,11335000
2003-11-03,0.12895151092875023,11377100
2003-11-03,0.8781284004352558,11525500
2003-11-04,2.0825181840983196,11270900
2003-11-04,1.5278836162105993,11289650
2003-11-04,0.6545974273463554,11319500
2003-11-04,0.04701890450799806,11335000
2003-11-04,0.1258548166498929,11377100
2003-11-04,0.5527747551686616,11525500
2003-11-05,1.6654125909204915,11270900
2003-11-05,1.036543124350537,11289650
2003-11-05,0.3149118627918056,11319500
2003-11-05,0.013087736306349976,11335000
2003-11-05,0.9319501432221104,11377100
2003-11-05,1.2368516503445774,11525500
2003-11-06,1.2061700526711814,11270900
2003-11-06,0.6439210252857638,11289650
2003-11-06,0.12720343020485947,11319500
2003-11-06,0.0,11335000
2003-11-06,0.34110087481613377,11377100
2003-11-06,0.83424011606819,11525500
2003-11-07,0.9232505643340858,11270900
2003-11-07,0.4154832005542085,11289650
2003-11-07,0.03334921391138637,11319500
2003-11-07,0.0,11335000
2003-11-07,0.08420427859926195,11377100
2003-11-07,0.3674283641639463,11525500
2003-11-08,0.6982693754702785,11270900
2003-11-08,0.2651541392448909,11289650
2003-11-08,0.026202953787517864,11319500
2003-11-08,0.0,11335000
2003-11-08,0.05821785244251761,11377100
2003-11-08,0.3561842582517229,11525500
2003-11-09,3.5033860045146725,11270900
2003-11-09,2.1879113266366472,11289650
2003-11-09,1.1010004764173416,11319500
2003-11-09,0.3305865244789142,11335000
2003-11-09,0.06779179892131816,11377100
2003-11-09,0.30395357272397533,11525500
2003-11-10,6.834712816654126,11270900
2003-11-10,5.598891582958088,11289650
2003-11-10,2.8989995235826584,11319500
2003-11-10,0.24527387300048473,11335000
2003-11-10,0.047276199323888414,11377100
2003-11-10,0.3025027203482046,11525500
2003-11-11,6.646350639578631,11270900
2003-11-11,5.422064426740561,11289650
2003-11-11,2.654121010004764,11319500
2003-11-11,0.13233155598642754,11335000
2003-11-11,0.04381822404583108,11377100
2003-11-11,0.28146536089952845,11525500
2003-11-12,6.035866566340607,11270900
2003-11-12,4.93886387253204,11289650
2003-11-12,2.191996188661267,11319500
2003-11-12,0.016965584100824042,11335000
2003-11-12,0.03512167427937343,11377100
2003-11-12,0.18534639100471528,11525500
2003-11-13,5.562327564584901,11270900
2003-11-13,10.218739175614825,11289650
2003-11-13,18.743211052882327,11319500
2003-11-13,0.09694619486185167,11335000
2003-11-13,0.021470413666744084,11377100
2003-11-13,0.08705114254624592,11525500
2003-11-14,5.490594431903687,11270900
2003-11-14,10.08191894700381,11289650
2003-11-14,18.608861362553597,11319500
2003-11-14,0.09209888511875909,11335000
2003-11-14,0.015689917679543752,11377100
2003-11-14,0.06238665215814291,11525500
2003-11-15,5.600451467268623,11270900
2003-11-15,10.341357810876342,11289650
2003-11-15,19.237255836112436,11319500
2003-11-15,0.42365487154629183,11335000
2003-11-15,0.056256612732574644,11377100
2003-11-15,0.9619151251360174,11525500
2003-11-16,7.418610484073238,11270900
2003-11-16,12.664530654658815,11289650
2003-11-16,22.3477846593616,11319500
2003-11-16,2.348521570528357,11335000
2003-11-16,0.7906118551779309,11377100
2003-11-16,2.1019223793978963,11525500
2003-11-17,7.045648357160773,11270900
2003-11-17,12.208867336335295,11289650
2003-11-17,21.777513101476895,11319500
2003-11-17,1.7406689287445467,11335000
2003-11-17,0.8062501612861603,11377100
2003-11-17,2.7279651795429816,11525500
2003-11-18,32.38575369952345,11270900
2003-11-18,38.31382057499134,11289650
2003-11-18,40.3639828489757,11319500
2003-11-18,0.6185167232186136,11335000
2003-11-18,1.0249025831591443,11377100
2003-11-18,2.136017410228509,11525500
2003-11-19,30.236769500877852,11270900
2003-11-19,36.97090405264981,11289650
2003-11-19,37.62934730824202,11319500
2003-11-19,0.08628211342704799,11335000
2003-11-19,0.9106345642693092,11377100
2003-11-19,26.431628581791802,11525500
2003-11-20,28.493604213694507,11270900
2003-11-20,35.21094561828888,11289650
2003-11-20,33.315864697474986,11319500
2003-11-20,0.0605913717886573,11335000
2003-11-20,0.5968104048927769,11377100
2003-11-20,23.955386289445048,11525500
2003-11-21,27.15450213192877,11270900
2003-11-21,33.40630412192588,11289650
2003-11-21,29.850404954740352,11319500
2003-11-21,0.048473097430925836,11335000
2003-11-21,0.5366313127403164,11377100
2003-11-21,23.275661951396444,11525500
2003-11-22,26.51918735891648,11270900
2003-11-22,32.51212331139591,11289650
2003-11-22,29.037160552644117,11319500
2003-11-22,0.04701890450799806,11335000
2003-11-22,0.5275734819746587,11377100
2003-11-22,23.11280377221618,11525500
2003-11-23,26.09756709305242,11270900
2003-11-23,32.078628333910636,11289650
2003-11-23,28.75321581705574,11319500
2003-11-23,0.04701890450799806,11335000
2003-11-23,0.5196769115635725,11377100
2003-11-23,23.007616974972798,11525500
2003-11-24,25.79282668673188,11270900
2003-11-24,31.664530654658815,11289650
2003-11-24,28.3096712720343,11319500
2003-11-24,0.046049442559379546,11335000
2003-11-24,0.5110577791540863,11377100
2003-11-24,22.89481320275662,11525500
2003-11-25,31.729621269124657,11270900
2003-11-25,29.956356078974714,11289650
2003-11-25,37.71033825631253,11319500
2003-11-25,0.3291323315559864,11335000
2003-11-25,0.7646254290211866,11377100
2003-11-25,22.831701124410593,11525500
2003-11-26,31.354401805869074,11270900
2003-11-26,29.447696570834776,11289650
2003-11-26,37.13101476893759,11319500
2003-11-26,0.3136209403780902,11335000
2003-11-26,0.7667673092307296,11377100
2003-11-26,22.976060935799783,11525500
2003-11-27,30.703034863305742,11270900
2003-11-27,28.825424315898857,11289650
2003-11-27,36.72177227251072,11319500
2003-11-27,0.30344158991759573,11335000
2003-11-27,0.7592320198188434,11377100
2003-11-27,22.857091040986578,11525500
2003-11-28,29.948582894406822,11270900
2003-11-28,28.129373051610667,11289650
2003-11-28,35.59742734635541,11319500
2003-11-28,0.13669413475521086,11335000
2003-11-28,0.7127299940646693,11377100
2003-11-28,22.577076532462822,11525500
2003-11-29,29.0795084023075,11270900
2003-11-29,27.07637686179425,11289650
2003-11-29,33.57408289661743,11319500
2003-11-29,0.04701890450799806,11335000
2003-11-29,0.6349513560940363,11377100
2003-11-29,23.138193688792164,11525500
2003-11-30,27.862051667920742,11270900
2003-11-30,25.671977831659163,11289650
2003-11-30,30.236779418770844,11319500
2003-11-30,0.031022782355792537,11335000
2003-11-30,0.5625145157544321,11377100
2003-11-30,22.404787812840045,11525500
2003-12-01,26.861550037622273,11270900
2003-12-01,24.464669206789054,11289650
2003-12-01,28.13959028108623,11319500
2003-12-01,0.02035870092098885,11335000
2003-12-01,0.5027225103868287,11377100
2003-12-01,21.309756982227057,11525500
2003-12-02,26.750438926511162,11270900
2003-12-02,23.974541046068584,11289650
2003-12-02,26.769890424011432,11319500
2003-12-02,0.07367910809500727,11335000
2003-12-02,0.4764006090165415,11377100
2003-12-02,20.761697497279652,11525500
2003-12-03,36.141208929019314,11270900
2003-12-03,30.800658122618636,11289650
2003-12-03,33.95378751786565,11319500
2003-12-03,0.5511391177896268,11335000
2003-12-03,0.8664550592242781,11377100
